module,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
5,Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,20/308,163/9512,0.12269938650306748,3.7893394948609673,6.570716696818342,2.7951879525008375e-7,7.445364273479504e-6,4.734433182704768e-6,4318/637/8772/51135/6773/5604/208/836/6777/5608/581/6714/10000/10971/841/4790/843/3654/7124/57506,20
5,Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,15/308,95/9512,0.15789473684210525,4.8762816131237186,6.9457793490031765,3.4110969114608217e-7,8.328761625483507e-6,5.296176783583908e-6,4318/3553/8772/836/6361/6364/3934/2921/4312/841/4790/29761/6374/6356/7124,15
5,Human Diseases,Infectious disease: viral,hsa05162,Measles,18/308,139/9512,0.12949640287769784,3.999252546015136,6.516002944575389,4.975823135743758e-7,1.0599963340345506e-5,6.740411392998581e-6,3553/637/3303/8772/51135/6773/598/208/836/5610/6777/581/10000/3559/841/4790/3654/57506,18
5,Cellular Processes,Cell growth and death,hsa04215,Apoptosis - multiple species,9/308,32/9512,0.28125,8.685876623376624,7.96644153620039,5.064828899823792e-7,1.0599963340345506e-5,6.740411392998581e-6,637/8772/598/56616/836/840/27429/581/841,9
5,Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,23/308,227/9512,0.1013215859030837,3.1291263802277016,5.939139956695377,1.146690188061058e-6,2.2398681673459336e-5,1.4243099178021567e-5,3553/637/6352/8772/5604/9138/5534/1399/208/836/5608/581/6714/10000/5330/3708/841/4790/6348/23365/567/1978/7124,23
5,Organismal Systems,Immune system,hsa04625,C-type lectin receptor signaling pathway,15/308,105/9512,0.14285714285714285,4.411873840445269,6.430758281167863,1.2838469121926447e-6,2.3510446579527806e-5,1.4950059438032772e-5,3553/834/6773/5534/208/6237/6361/6714/10000/3708/841/4790/9261/23365/7124,15
5,Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,27/308,300/9512,0.09,2.7794805194805194,5.728976552985681,1.3887792719064085e-6,2.3936019215798687e-5,1.5220676849995935e-5,3553/2069/5155/1950/284/5154/627/929/3303/51135/5321/5604/5534/1399/208/836/6237/5608/2324/10000/4149/6789/4790/9261/7423/3654/7124,27
5,Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,23/308,232/9512,0.09913793103448276,3.061688311688312,5.815581645631117,1.6764435686781911e-6,2.7288775867928336e-5,1.7352661500353208e-5,5155/1950/3655/5154/2149/4659/5604/9138/1399/208/6237/89846/28984/727/6714/10000/732/5501/23365/10451/10298/8936/28964,23
5,Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,17/308,138/9512,0.12318840579710146,3.8044419348767176,6.070488842239079,2.105933059594578e-6,3.2475704550590066e-5,2.0650977925110265e-5,3553/27040/834/51135/5604/9138/1399/208/5608/8935/6714/10000/4790/23365/10451/3654/7124,17
5,Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,15/308,112/9512,0.13392857142857142,4.13613172541744,6.10716318312785,2.9504419522590247e-6,4.2583693161260915e-5,2.707854747455787e-5,959/3655/3303/51135/598/208/836/3910/5608/10000/841/4790/10105/3654/7124,15
