protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
DEFB4A_DEFB4B,fid_23482,10211,0.28874370515545217,2.8118639077074382e-195,3.705505110184649e-193,0.2918720009631464,1.1147235408361741e-199,1.291714520866375e-197,+,0.28874370515545217,Total Lipids in Chylomicrons and Extremely Large VLDL
INHBC,fid_23586,10261,-0.2880577248853239,2.9187594984546206e-195,3.845676990372432e-193,-0.3144631230504382,2.7445664233634294e-234,4.769745812362308e-232,-,0.2880577248853239,Cholesteryl Esters to Total Lipids in Very Large VLDL percentage
CFI,fid_23510,9911,0.29285017235191624,3.212010396407536e-195,4.2289940137230595e-193,0.2952608522842823,1.4584352475362914e-198,1.6708461371141136e-196,+,0.29285017235191624,Total Lipids in Small VLDL
AGRP,fid_23612,10432,-0.2857565567568409,3.217001167613089e-195,4.234798894592751e-193,-0.290940849535575,1.3006944853510589e-202,1.5588351147531784e-200,-,0.2857565567568409,Free Cholesterol to Total Lipids in IDL percentage
TTR,fid_23578,9810,0.2942834404003394,3.2515494140172057e-195,4.2787298053804033e-193,0.2857031961580807,1.2502981760889618e-183,1.2010040525383408e-181,+,0.2942834404003394,Triglycerides in Small HDL
TMPRSS15,fid_23585,10228,-0.28846007278920244,3.3439646593233467e-195,4.399544045736323e-193,-0.3169005418947724,2.4351832072160164e-237,4.3806032826456045e-235,-,0.28846007278920244,Cholesterol to Total Lipids in Very Large VLDL percentage
CES1,fid_23428,10365,0.28661416586602784,3.4973337488649685e-195,4.59966377021168e-193,0.2876695866520781,1.1367170612464223e-196,1.2765520267486497e-194,+,0.28661416586602784,Concentration of VLDL Particles
SERPIND1,fid_23408,9892,0.2930827926896743,3.6023338360697855e-195,4.736903033252329e-193,0.3015897762543509,4.2257270539019084e-207,5.3553861125897e-205,+,0.2930827926896743,Triglycerides in VLDL
PLA2G10,fid_23405,10264,-0.2879329720037655,3.832633040961601e-195,5.03791549269272e-193,-0.2808637028330895,2.2035236655462288e-185,2.1631831925054156e-183,-,0.2879329720037655,LDL Cholesterol
FGF21,fid_23573,10427,0.28575207911838396,4.039777520668035e-195,5.30828516615861e-193,0.27856694129815435,3.894187245408908e-185,3.806977327420052e-183,+,0.28575207911838396,Total Lipids in Small HDL
SMAD1,fid_23490,10125,0.2897866341917155,4.2418886054430715e-195,5.572853895367897e-193,0.2844044180381539,1.0946613867408511e-187,1.1067149786462474e-185,+,0.2897866341917155,Phospholipids in Very Large VLDL
ACY1,fid_23574,10283,0.2876352723735361,4.4009866980568135e-195,5.780828271948379e-193,0.2949757709906278,1.5832077783019604e-205,1.9670559365964167e-203,+,0.2876352723735361,Phospholipids in Small HDL
USP8,fid_23471,10116,0.28987844294241416,4.6928467424992956e-195,6.161971073521621e-193,0.28210566759218353,2.076787757981054e-184,2.0132421464145932e-182,+,0.28987844294241416,Lactate
