dataset,feature,beta_sex,p_sex,q_sex,p_age,q_age,R2
metabolome,fid_23507,-0.0018208208387445323,0.0018593923449546218,0.0021141036250853923,6.375451607804497e-22,1.3685236640890687e-21,0.011203179823605636
metabolome,fid_23577,-0.006174052617544391,9.417646728710358e-92,2.2548019571623839e-91,1.1576588347092758e-30,6.405712218724659e-30,0.05401529339032174
metabolome,fid_23549,-0.001724629725982523,2.208170568859699e-12,2.791037927137386e-12,5.557219141701498e-25,1.6671657425104492e-24,0.016854188267352965
metabolome,fid_23514,-0.001460492604352621,8.809758601556113e-5,1.0298731886326161e-4,3.7081444375594113e-23,8.710641178795221e-23,0.012390410237513194
metabolome,fid_23420,0.013390093337884098,1.7578822581838897e-10,2.1776750362576544e-10,8.139173604733869e-19,1.5470642958616283e-18,0.012101221150329078
metabolome,fid_23556,-0.004860020661585352,6.8449904893138e-282,5.498073005932698e-281,0.0369293678413602,0.037841204084356754,0.12055881347997521
metabolome,fid_23493,0.005220220417326401,6.149335525278855e-81,1.3199866774089957e-80,1.5694360840149472e-9,2.123856439781097e-9,0.03859081756528271
metabolome,fid_23521,-0.005440311490053687,1.3966328915312577e-77,2.89801324992736e-77,4.2798457951767295e-35,2.960226674997238e-34,0.049872642791434774
metabolome,fid_23582,-1.2434698904055783,3.706515087502709e-49,6.364981081297756e-49,0.35056258666717155,0.35197614548437794,0.02134070194490767
metabolome,fid_23612,-0.1975268486833346,1.474873953516881e-21,2.0985349395754478e-21,0.014814900448896252,0.015499622738551122,0.010102051955676261
metabolome,fid_23637,-0.7652549865854469,3.1044023341919706e-258,2.2085605177537162e-257,0.0018674255991300889,0.0020305195379187427,0.1119950025333959
metabolome,fid_23617,-0.6152060650301926,8.818999813604864e-137,3.0499041022050155e-136,3.2551269546892656e-29,1.5892678661129944e-28,0.07207138393252732
metabolome,fid_23592,0.23942180379032615,1.7765970984840206e-21,2.513481122287052e-21,1.632598260851538e-7,2.0531159947072372e-7,0.012155369507812486
metabolome,fid_23642,-0.6135881651345869,0,0,7.0476615204239e-13,1.076605962322424e-12,0.19982111893396826
metabolome,fid_23622,-0.74561105125705,6.585761034216954e-97,1.6733209158367568e-96,1.6173052269618695e-28,7.457574102101953e-28,0.054677220745469324
metabolome,fid_23597,-0.9520972709111688,3.0707020720499085e-176,1.4703938768085138e-175,7.523255019159735e-15,1.248860333180516e-14,0.08356148539318198
metabolome,fid_23647,-0.299679041656828,2.863343688717699e-192,1.5499403880232762e-191,1.5267048966112995e-15,2.639927217057039e-15,0.0900199967400408
metabolome,fid_23627,-0.5072989649888399,7.438379365747916e-42,1.2265936834908815e-41,4.939153795063902e-25,1.4998162133791604e-24,0.02942562505564461
metabolome,fid_23602,-1.0703851995234914,1.601466118777095e-138,5.696643765364238e-138,2.7684510054773125e-37,3.133383183472049e-36,0.07677623546667645
metabolome,fid_23632,3.004151532403818,0,0,0.0027149725643610145,0.002913914519508158,0.17815520002750374
metabolome,fid_23587,-0.7586053449448715,3.7697240934066834e-126,1.2034119221259798e-125,5.980648105107351e-4,6.648131152552367e-4,0.056708594038235804
metabolome,fid_23607,-0.13238738604970246,2.198273999546483e-30,3.358099545319474e-30,1.4728755741297747e-8,1.94045512147256e-8,0.017187819562519024
metabolome,fid_23470,0.02814411404331011,0.21279848207436872,0.22357308876167853,1.305249551972969e-29,6.770982050859777e-29,0.013614872365180108
