protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
ERBB2,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.28892347940514057,1.976694701766725e-192,-0.2833148155305303,7.726896991119024e-185,-,0.28892347940514057
F9,fid_23596,Cholesteryl Esters to Total Lipids in Medium VLDL percentage,-0.288872740328388,2.3253401942176932e-192,-0.2945867877763698,1.8861937291163152e-200,-,0.288872740328388
GGT1,fid_23636,Cholesteryl Esters to Total Lipids in Large HDL percentage,-0.28887237924193093,2.327617195538934e-192,-0.3090636193533121,1.4168713522880472e-221,-,0.28887237924193093
NHLRC3,fid_23522,Triglycerides in Very Small VLDL,0.28887087380237625,2.338456499201556e-192,0.28403217411881454,8.208372104075369e-186,+,0.28887087380237625
LDLR,fid_23443,Degree of Unsaturation,-0.28886485324332206,2.383586378745764e-192,-0.28735528112700903,2.3625577265038216e-190,-,0.28886485324332206
PCBD1,fid_23489,Total Lipids in Very Large VLDL,0.2888474824133584,2.519579099759364e-192,0.2936962300571289,3.43345866597457e-199,+,0.2888474824133584
OXT,fid_23617,Free Cholesterol to Total Lipids in Large LDL percentage,-0.28883632235492834,2.610843454379255e-192,-0.2724210252056114,1.9637106113471975e-170,-,0.28883632235492834
SCARA5,fid_23478,Creatinine,0.2888341356297777,2.6287323019514108e-192,0.251378593456509,1.88101421680966e-144,+,0.2888341356297777
PRAP1,fid_23448,Saturated Fatty Acids,0.2888300048021132,2.6632820282162414e-192,0.2772035790211003,1.1253057995978952e-176,+,0.2888300048021132
APOC1,fid_23551,Concentration of Very Large HDL Particles,0.2888297822916545,2.664706577077045e-192,0.3279415524920938,5.7335499179661e-251,+,0.2888297822916545
CRIP2,fid_23489,Total Lipids in Very Large VLDL,0.28880982517906717,2.8401527984915837e-192,0.3276608667784408,1.6255580030540718e-250,+,0.28880982517906717
CCL23,fid_23486,Free Cholesterol in Chylomicrons and Extremely Large VLDL,0.28879948315225595,2.9353105289964123e-192,0.29458130111241865,1.9201345641144257e-200,+,0.28879948315225595
ADAMTS15,fid_23490,Phospholipids in Very Large VLDL,0.2887983252860768,2.9456944518537237e-192,0.329659393735865,9.481386965937264e-254,+,0.2887983252860768
CD4,fid_23561,Cholesterol in Large HDL,-0.28878609788445625,3.0628271187908227e-192,-0.33556701031575914,1.857780824966084e-263,-,0.28878609788445625
FAM20A,fid_23435,Triglycerides to Phosphoglycerides ratio,0.2887733020884188,3.190415072840808e-192,0.29072267035386273,5.122917923279455e-195,+,0.2887733020884188
APCS,fid_23626,Cholesteryl Esters to Total Lipids in Small LDL percentage,0.2887696020550618,3.2278796968634012e-192,0.29141645008081407,5.479553882836748e-196,+,0.2887696020550618
ACE2,fid_23617,Free Cholesterol to Total Lipids in Large LDL percentage,-0.28876143910828184,3.312806023762561e-192,-0.24737740284365797,8.837365634599144e-140,-,0.28876143910828184
SSC5D,fid_23638,Triglycerides to Total Lipids in Large HDL percentage,0.28874055634101375,3.5413452497775225e-192,0.31321151064587455,7.50747754176422e-228,+,0.28874055634101375
CKB,fid_23467,Valine,-0.2887396381939214,3.551142955782857e-192,-0.3090943785989394,1.2748352131872337e-221,-,0.2887396381939214
DPY30,fid_23648,Triglycerides to Total Lipids in Small HDL percentage,0.28873790200453653,3.57031021831808e-192,0.2936577652073464,3.890859724913161e-199,+,0.28873790200453653
PROS1,fid_23447,Monounsaturated Fatty Acids,0.28871889934455897,3.79367777940226e-192,0.3394913851279882,5.025091610161905e-270,+,0.28871889934455897
NTRK3,fid_23606,Cholesteryl Esters to Total Lipids in Very Small VLDL percentage,0.28871748811815795,3.810185099864925e-192,0.28205729802872465,3.837674142296879e-183,+,0.28871748811815795
PLA2G7,fid_23447,Monounsaturated Fatty Acids,0.28871634700218596,3.822831873258836e-192,0.2979309277798457,3.1829488446458375e-205,+,0.28871634700218596
HS6ST1,fid_23442,Total Fatty Acids,0.28871634241502514,3.822831873258836e-192,0.285445257249139,9.800202225924659e-188,+,0.28871634241502514
CD4,fid_23613,Triglycerides to Total Lipids in IDL percentage,0.2887157289628537,3.829669081438194e-192,0.3168410425216004,2.0038343371989497e-233,+,0.2887157289628537
AGR3,fid_23578,Triglycerides in Small HDL,0.28869909037155184,4.0385505347601126e-192,0.3033446524833207,4.3925600415411186e-213,+,0.28869909037155184
PRCP,fid_23494,Triglycerides in Very Large VLDL,0.2886968112807637,4.0674110705687216e-192,0.3109713128297937,1.892218210617042e-224,+,0.2886968112807637
IGFBP1,fid_23588,Triglycerides to Total Lipids in Very Large VLDL percentage,-0.28869576764329424,4.0803026386276406e-192,-0.31926925288321534,3.3567307567941e-237,-,0.28869576764329424
FGF21,fid_23409,Triglycerides in LDL,0.2886874799897601,4.189297618404288e-192,0.2819444103395318,5.444414519669991e-183,+,0.2886874799897601
GPD1,fid_23483,Phospholipids in Chylomicrons and Extremely Large VLDL,0.2886813019826059,4.272241985470312e-192,0.2995837575424068,1.3247952988401294e-207,+,0.2886813019826059
IGSF8,fid_23543,Triglycerides in Medium LDL,0.2886709921854092,4.414851288341064e-192,0.2891756234424783,7.253436664494364e-193,+,0.2886709921854092
GSTA3,fid_23638,Triglycerides to Total Lipids in Large HDL percentage,0.28865955942762855,4.578648134382773e-192,0.3241981450069926,5.737779133202411e-245,+,0.28865955942762855
SERPINA5,fid_23481,Concentration of Chylomicrons and Extremely Large VLDL Particles,0.28862996024128085,5.032885873838731e-192,0.33083508160264696,1.1525764214880365e-255,+,0.28862996024128085
CLUL1,fid_23418,Cholesteryl Esters in HDL,0.28862049733018663,5.1867688913499664e-192,0.3009714151447452,1.2885174128300815e-209,+,0.28862049733018663
DBI,fid_23471,Lactate,0.28862041953984335,5.187140382634023e-192,0.2728946350814045,4.792506368978273e-171,+,0.28862041953984335
APCS,fid_23621,Cholesteryl Esters to Total Lipids in Medium LDL percentage,0.2886194006367023,5.20316477183636e-192,0.2771126711121336,1.4822329275220627e-176,+,0.2886194006367023
MEGF9,fid_23529,Triglycerides in IDL,0.28861900154313047,5.2088928916156046e-192,0.26938742466294635,1.545737075731745e-166,+,0.28861900154313047
SERPIND1,fid_23431,Average Diameter for VLDL Particles,0.2886115290673712,5.334054476886313e-192,0.2927623094847214,7.105255882574274e-198,+,0.2886115290673712
MAD1L1,fid_23494,Triglycerides in Very Large VLDL,0.2886029534759585,5.481542145346595e-192,0.3245880088615262,1.372721831026421e-245,+,0.2886029534759585
IGFBP2,fid_23632,Free Cholesterol to Total Lipids in Very Large HDL percentage,-0.28859996622131656,5.5332302131296804e-192,-0.33328837988700466,1.0854385104505909e-259,-,0.28859996622131656
PROC,fid_23419,Total Free Cholesterol,0.2885976579031982,5.5732795104867765e-192,0.2869459970115151,8.638233832438578e-190,+,0.2885976579031982
CRIP2,fid_23493,Free Cholesterol in Very Large VLDL,0.2885789038234142,5.9170454708241566e-192,0.3245207345247129,1.7568395380833359e-245,+,0.2885789038234142
LEP,fid_23585,Cholesterol to Total Lipids in Very Large VLDL percentage,-0.2885598700873327,6.2876118648395634e-192,-0.30263716014451897,4.787138918579048e-212,-,0.2885598700873327
IGFBP1,fid_23608,Triglycerides to Total Lipids in Very Small VLDL percentage,-0.28855891317177673,6.30578122461675e-192,-0.28981348935094475,9.450834816753383e-194,-,0.28855891317177673
BCHE,fid_23483,Phospholipids in Chylomicrons and Extremely Large VLDL,0.28855319595543205,6.4210897908030454e-192,0.3015814590630412,1.670273797823502e-210,+,0.28855319595543205
MAMDC4,fid_23522,Triglycerides in Very Small VLDL,0.2885378852640772,6.742366037882709e-192,0.2794638256006974,1.1404341011373167e-179,+,0.2885378852640772
