protein,metabolite,r_F,p_F,q_F,r_M,p_M,q_M,abs_r_F,abs_r_M,p_diff,q_diff,r_diff,metabolite_label
MFGE8,fid_23623,0.3304242478601308,9.045310404682132e-141,2.3313517754416727e-138,0.48455119802638913,9.702786583039839e-272,2.988256811414165e-268,0.3304242478601308,0.48455119802638913,1.2101603832683564e-20,1.2318349416212182e-16,0.15412695016625833,Triglycerides to Total Lipids in Medium LDL percentage
ORM1,fid_23556,-0.22881006508980067,1.6790007205622497e-66,6.859751392506916e-65,-0.04738595112035972,0.00124631777907877,0.00267200282486461,0.22881006508980067,0.04738595112035972,1.2678474207502151e-20,1.2614499496353395e-16,0.18142411396944097,Free Cholesterol in Very Large HDL
APOE,fid_23617,0.02889900487258308,0.03177279017332651,0.05141246015955537,-0.155310461345727,1.9653922067492776e-26,2.610625163149517e-25,0.02889900487258308,0.155310461345727,1.284305378733366e-20,1.2614499496353395e-16,-0.18420946621831008,Free Cholesterol to Total Lipids in Large LDL percentage
APOE,fid_23515,0.02179834670208952,0.10533593498144356,0.1528230071769141,0.2042470509453287,7.232765291374207e-45,2.188409803303141e-43,0.02179834670208952,0.2042470509453287,1.3630384929159734e-20,1.3209315077928132e-16,0.18244870424323917,Triglycerides in Small VLDL
ORM1,fid_23552,-0.2609875786511622,1.172865720045348e-86,8.462971946453691e-85,-0.08180265523062491,2.4212112346837997e-8,8.814747164535177e-8,0.2609875786511622,0.08180265523062491,1.481583904085593e-20,1.416922513934784e-16,0.17918492342053727,Total Lipids in Very Large HDL
FURIN,fid_23625,0.01390283202758396,0.301676845362412,0.3835430034609733,-0.16944530292168292,3.2338588002389198e-31,5.5284335912043806e-30,0.01390283202758396,0.16944530292168292,1.6149418938246684e-20,1.52440237874088e-16,-0.18334813494926688,Cholesterol to Total Lipids in Small LDL percentage
C9,fid_23622,0.1597441656226794,7.010159787815518e-33,8.419454779215329e-32,0.3328535320142908,2.1688557644467413e-120,7.028049951531831e-118,0.1597441656226794,0.3328535320142908,1.6844900693295996e-20,1.5696661558729514e-16,0.1731093663916114,Free Cholesterol to Total Lipids in Medium LDL percentage
NPY,fid_23625,0.06854030030604599,3.4394755966686337e-7,9.406567081957456e-7,-0.1155228364017197,2.979808339968187e-15,1.918027148263284e-14,0.06854030030604599,0.1155228364017197,1.8691426341512224e-20,1.71968456952249e-16,-0.1840631367077657,Cholesterol to Total Lipids in Small LDL percentage
APOE,fid_23640,0.02101058186207956,0.11852914475822464,0.169777402758128,-0.16214993188469315,1.078254769438229e-28,1.6208073797397422e-27,0.02101058186207956,0.16214993188469315,1.9419774642731682e-20,1.7643617779189144e-16,-0.18316051374677272,Cholesterol to Total Lipids in Medium HDL percentage
CDH15,fid_23634,0.04295468477244328,0.00141080545882002,0.0027703494419398602,0.22362732522313644,1.1780064387804611e-53,4.945769396402735e-52,0.04295468477244328,0.22362732522313644,2.0523409417761935e-20,1.8416111346322622e-16,0.18067264045069312,Phospholipids to Total Lipids in Large HDL percentage
ORM1,fid_23553,-0.2651149618110565,1.8479226445314703e-89,1.4372685539298585e-87,-0.08696765232871315,2.985528413909053e-9,1.1824765832075086e-8,0.2651149618110565,0.08696765232871315,2.1267874439836663e-20,1.8851402984123074e-16,0.17814730948234334,Phospholipids in Very Large HDL
LCAT,fid_23614,-0.01148070780160161,0.3937197877480276,0.47999581851477496,-0.19318954561838697,3.085574406525887e-40,7.825434004918584e-39,0.01148070780160161,0.19318954561838697,2.3884757715490708e-20,2.091588233145521e-16,-0.18170883781678537,Phospholipids to Total Lipids in Large LDL percentage
GDF2,fid_23453,0.09583492511544033,9.630989247552177e-13,3.874802274911903e-12,-0.08731405184572837,2.5830989515454132e-9,1.0290925203084328e-8,0.09583492511544033,0.08731405184572837,3.019316449281963e-20,2.6125390406524513e-16,-0.1831489769611687,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
APOE,fid_23645,-0.01884735038300173,0.16144443113158902,0.2232515137893219,-0.19972037217705516,6.139290008034648e-43,1.728004606680026e-41,0.01884735038300173,0.19972037217705516,3.1274378478569624e-20,2.6742573863479097e-16,-0.18087302179405343,Cholesterol to Total Lipids in Small HDL percentage
PLTP,fid_23614,-0.1675378674571812,4.833407166811516e-36,6.678840616845591e-35,0.01399418168800831,0.34067438327400446,0.4332915742926177,0.1675378674571812,0.01399418168800831,3.885035233644581e-20,3.2834465626803773e-16,0.1815320491451895,Phospholipids to Total Lipids in Large LDL percentage
APCS,fid_23634,0.33173540088634085,6.111457679880272e-142,1.6117550424256377e-139,0.16102239060713147,2.5844503073187447e-28,3.804781352046323e-27,0.33173540088634085,0.16102239060713147,5.603618748725912e-20,4.681475653741613e-16,-0.17071301027920938,Phospholipids to Total Lipids in Large HDL percentage
BMP10,fid_23453,0.15082701499848014,1.8678948100502014e-29,1.9014886100415942e-28,-0.02992864991479836,0.04153654484600445,0.06859223340626408,0.15082701499848014,0.02992864991479836,6.799319938049997e-20,5.615859670332747e-16,-0.1807556649132785,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
C9,fid_23606,0.08112610542641834,1.574589057151431e-9,5.107897271669405e-9,0.2567302035757195,1.0439551372181993e-70,7.909714962362566e-69,0.08112610542641834,0.2567302035757195,9.07721923989473e-20,7.413038581294299e-16,0.17560409814930117,Cholesteryl Esters to Total Lipids in Very Small VLDL percentage
C9,fid_23615,0.02594035114956317,0.05393665202920671,0.08349626153536907,0.20408096241209775,8.528964573715679e-45,2.5739560912133955e-43,0.02594035114956317,0.20408096241209775,1.0230015645238852e-19,8.261658334938445e-16,0.17814061126253458,Cholesterol to Total Lipids in Large LDL percentage
F9,fid_23629,-0.34725088457546427,3.1278154392329214e-156,1.0851518966649659e-153,-0.1793609508644693,7.838746604899465e-35,1.5906206297176594e-33,0.34725088457546427,0.1793609508644693,1.0464251003311248e-19,8.3579582648216665e-16,0.167889933710995,Phospholipids to Total Lipids in Very Large HDL percentage
C9,fid_23555,0.00348827528635054,0.7955326820187187,0.8431940858718264,0.18232292867817165,5.9195322418321254e-36,1.2616560726242112e-34,0.00348827528635054,0.18232292867817165,1.0937005249654974e-19,8.5913707190756105e-16,0.1788346533918211,Cholesteryl Esters in Very Large HDL
ORM1,fid_23647,-0.1816942942401339,3.45021131938972e-42,6.15739078125899e-41,-0.0028491632479773,0.8461882007135961,0.8865048893488156,0.1816942942401339,0.0028491632479773,1.0992892114866205e-19,8.5913707190756105e-16,0.17884513099215657,Free Cholesterol to Total Lipids in Small HDL percentage
APCS,fid_23555,-0.40738177476963217,8.628139910200296e-220,1.0017890669442156e-216,-0.24670674143361215,2.881614769854119e-65,1.819992131376294e-63,0.40738177476963217,0.24670674143361215,1.2739986926300688e-19,9.85086961450006e-16,0.16067503333601998,Cholesteryl Esters in Very Large HDL
APOE,fid_23409,0.04151179517494142,0.00203483589404561,0.0039204808750416,0.21834896072127352,3.5527261994944516e-51,1.3600713874985528e-49,0.04151179517494142,0.21834896072127352,1.3832375513496442e-19,1.0582946659842245e-15,0.1768371655463321,Triglycerides in LDL
