protein_metabolite_from,protein_metabolite_to,r,q,abs_r,sign
FGFBP1,fid_23404,0.4836245025855876,0,0.4836245025855876,+
MAMDC4,fid_23574,0.4827350874147494,0,0.4827350874147494,+
LDLR,fid_23480,0.48268689661135267,0,0.48268689661135267,+
APOA1,fid_23567,0.4824501829680331,0,0.4824501829680331,+
MFGE8,fid_23617,-0.481815007394339,0,0.481815007394339,-
APOM,fid_23400,0.4814569011801021,0,0.4814569011801021,+
IGSF9,fid_23578,0.4812635407954688,0,0.4812635407954688,+
MFGE8,fid_23481,0.4807541691061242,0,0.4807541691061242,+
MFGE8,fid_23494,0.4799258248895422,0,0.4799258248895422,+
APOA1,fid_23642,0.4795096408666156,0,0.4795096408666156,+
FGFBP1,fid_23505,0.47921030263403946,0,0.47921030263403946,+
FGFBP1,fid_23532,0.4791832934068364,0,0.4791832934068364,+
MFGE8,fid_23408,0.4780510864209408,0,0.4780510864209408,+
MFGE8,fid_23483,0.47753028102976935,0,0.47753028102976935,+
FGFBP1,fid_23520,0.47737468119418336,0,0.47737468119418336,+
MXRA8,fid_23559,0.4770042670224536,0,0.4770042670224536,+
PLA2G7,fid_23499,0.4768757916308722,0,0.4768757916308722,+
CES1,fid_23453,-0.47658514780150185,0,0.47658514780150185,-
MFGE8,fid_23543,0.47589239375968895,0,0.47589239375968895,+
IGSF9,fid_23635,-0.4750929592010922,0,0.4750929592010922,-
LDLR,fid_23514,0.4748017709105045,0,0.4748017709105045,+
LDLR,fid_23517,0.4747722214076353,0,0.4747722214076353,+
FGFBP1,fid_23533,0.4747009146458414,0,0.4747009146458414,+
MXRA8,fid_23433,0.4738233934762616,0,0.4738233934762616,+
MFGE8,fid_23641,-0.47342060618787807,0,0.47342060618787807,-
MFGE8,fid_23452,-0.47314498825051293,0,0.47314498825051293,-
APOC1,fid_23411,0.4724849277372381,0,0.4724849277372381,+
IGSF9,fid_23634,0.4724499013072403,0,0.4724499013072403,+
APOC1,fid_23436,0.4723442141456854,0,0.4723442141456854,+
FGFBP1,fid_23401,0.4704894284809262,0,0.4704894284809262,+
MFGE8,fid_23486,0.4700551922186368,0,0.4700551922186368,+
LDLR,fid_23433,-0.4700269602035745,0,0.4700269602035745,-
MXRA8,fid_23563,0.4700257986787902,0,0.4700257986787902,+
APOM,fid_23430,0.46991435558087624,0,0.46991435558087624,+
MFGE8,fid_23482,0.4698617038793963,0,0.4698617038793963,+
FGFBP1,fid_23531,0.4696089115965482,0,0.4696089115965482,+
F9,fid_23480,0.4692412139796475,0,0.4692412139796475,+
FGFBP1,fid_23419,0.4691225190448912,0,0.4691225190448912,+
PLA2G7,fid_23412,0.46893221736567986,0,0.46893221736567986,+
IGSF9,fid_23454,0.46826970619505226,0,0.46826970619505226,+
MFGE8,fid_23409,0.4669079739316404,0,0.4669079739316404,+
FGFBP1,fid_23400,0.4665695919512375,0,0.4665695919512375,+
LDLR,fid_23555,-0.46593937534319296,0,0.46593937534319296,-
NPY,fid_23515,0.465521667705414,0,0.465521667705414,+
PRAP1,fid_23636,-0.4653765359392454,0,0.4653765359392454,-
FGFBP1,fid_23549,0.4650092977315875,0,0.4650092977315875,+
PLA2G7,fid_23510,0.46493734998282765,0,0.46493734998282765,+
MFGE8,fid_23487,0.4644083425601124,0,0.4644083425601124,+
APOM,fid_23437,0.4641014248258738,0,0.4641014248258738,+
LDLR,fid_23516,0.4639421539394305,0,0.4639421539394305,+
APOC1,fid_23437,0.46320684376780874,0,0.46320684376780874,+
FGFBP1,fid_23534,0.4629774919480102,0,0.4629774919480102,+
FGFBP1,fid_23402,0.4627266507486624,0,0.4627266507486624,+
FGFBP1,fid_23405,0.4626634531267612,0,0.4626634531267612,+
FGFBP1,fid_23415,0.4620117557386249,0,0.4620117557386249,+
FGFBP1,fid_23413,0.4619413858304222,0,0.4619413858304222,+
FGFBP1,fid_23519,0.4618402129897226,0,0.4618402129897226,+
MXRA8,fid_23560,0.4609229079874796,0,0.4609229079874796,+
MFGE8,fid_23484,0.46090661255916754,0,0.46090661255916754,+
MFGE8,fid_23648,0.4601985738891241,0,0.4601985738891241,+
IGFBP6,fid_23478,0.45998067128376513,0,0.45998067128376513,+
NPY,fid_23578,0.4597175718920638,0,0.4597175718920638,+
FGFBP1,fid_23530,0.459669926512004,0,0.459669926512004,+
MFGE8,fid_23488,0.459461911299023,0,0.459461911299023,+
MFGE8,fid_23489,0.45935981248776864,0,0.45935981248776864,+
FGFBP1,fid_23542,0.4591730267184154,0,0.4591730267184154,+
LDLR,fid_23554,-0.4586869406459621,0,0.4586869406459621,-
MAMDC4,fid_23573,0.4586607759349315,0,0.4586607759349315,+
MFGE8,fid_23454,0.4586317693320164,0,0.4586317693320164,+
PLTP,fid_23414,0.45854139474103833,0,0.45854139474103833,+
APOC1,fid_23434,0.4585269544432141,0,0.4585269544432141,+
FGFBP1,fid_23439,0.4579544008300579,0,0.4579544008300579,+
APOM,fid_23434,0.4576622383533976,0,0.4576622383533976,+
ADIPOQ,fid_23562,0.45744002385635074,0,0.45744002385635074,+
FURIN,fid_23480,0.4571051514891765,0,0.4571051514891765,+
PRAP1,fid_23635,-0.4569266121358249,0,0.4569266121358249,-
MFGE8,fid_23529,0.45547801761029866,0,0.45547801761029866,+
FGFBP1,fid_23429,0.45523695996633823,0,0.45523695996633823,+
PON3,fid_23639,-0.4550641329813318,0,0.4550641329813318,-
FGFBP1,fid_23594,0.45471594008815885,0,0.45471594008815885,+
ASGR1,fid_23458,-0.4544056946226787,0,0.4544056946226787,-
FGFBP1,fid_23425,0.4543928754865657,0,0.4543928754865657,+
PRAP1,fid_23617,-0.45383895915567296,0,0.45383895915567296,-
MXRA8,fid_23555,0.4537317539617959,0,0.4537317539617959,+
AGRP,fid_23515,0.45359282816903834,0,0.45359282816903834,+
RARRES2,fid_23454,0.4535161202801562,0,0.4535161202801562,+
APOC1,fid_23427,0.4533222940653053,0,0.4533222940653053,+
