module_protein,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,20/461,144/9521,0.1388888888888889,2.868462280067486,5.0961060954447355,1.892541669904518e-5,1.481721648876464e-4,8.794609557194293e-5,51/208/10000/836/841/2919/2921/8772/2308/2309/8517/3553/3654/51135/5608/4217/5601/4790/5564/23118,20
1,Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,12/461,59/9521,0.2033898305084746,4.2005956101327255,5.562501962950589,2.0146381568486016e-5,1.5397591627342884e-4,9.139085373172853e-5,208/10000/369/8312/581/842/1026/1950/2309/5604/5728/7157,12
1,Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,16/461,100/9521,0.16,3.3044685466377444,5.225491203944768,2.200269726415877e-5,1.6425269353011546e-4,9.749053132956516e-5,6357/6361/56477/6351/6352/10344/6355/2919/6373/2921/6374/6372/6387/5196/5473/8740,16
1,Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,21/461,159/9521,0.1320754716981132,2.7277452625547416,4.955629078579629,2.560664705847502e-5,1.8681212967660185e-4,1.1088045735846838e-4,208/10000/369/581/637/836/841/842/1026/1950/5610/9451/8772/8517/5604/57506/4790/6773/7157/7186/10971,21
1,Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,16/461,103/9521,0.1553398058252427,3.208221889939557,5.082610368005858,3.210726984611722e-5,2.290318582356362e-4,1.3593955186309278e-4,208/10000/841/6352/8772/2778/8517/3553/3654/51135/5601/4790/5330/5054/4087/7040,16
1,Human Diseases,Cancer: specific types,hsa05218,Melanoma,13/461,73/9521,0.1780821917808219,3.6779187591002285,5.18076297506886,4.07897576820635e-5,2.7380157058653836e-4,1.6251216355521702e-4,208/10000/369/581/1026/1950/2247/5604/5154/5155/5728/56034/7157,13
1,Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,13/461,73/9521,0.1780821917808219,3.6779187591002285,5.18076297506886,4.07897576820635e-5,2.7380157058653836e-4,1.6251216355521702e-4,208/10000/369/581/842/1026/1950/2272/2309/5604/6777/6789/7157,13
1,Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,16/461,105/9521,0.1523809523809524,3.1471129015597565,4.99023668111658,4.094229092882816e-5,2.7380157058653836e-4,1.6251216355521702e-4,598/8678/665/10241/1457/9451/51024/2309/5601/6237/6714/8887/9804/7157/7186/9101,16
1,Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,16/461,106/9521,0.1509433962264151,3.117423157205419,4.944874422323271,4.611578007318226e-5,3.021054163977858e-4,1.7931162606328653e-4,208/10000/369/842/1026/1950/2308/2950/8517/5604/4790/5154/5155/5728/56034/7157,16
1,Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,21/461,169/9521,0.1242603550295858,2.566340217433159,4.634277548915514,6.400830661260771e-5,4.1093332845294154e-4,2.4390533677646304e-4,84335/208/10000/55054/598/8678/10241/23604/9451/26003/3708/5604/5601/5728/6237/9342/6794/8417/10010/8887/8673,21
