protein,module_protein,degree_pp
ICA1,1,864
GFRA2,3,10
GPNMB,3,55
HS6ST2,3,43
HYOU1,3,166
ICOSLG,3,22
GPR158,4,27
GLYR1,4,29
IFIT3,1,669
HSPA2,2,67
IFT20,1,746
DPEP2,3,2
FLT1,3,5
IFNGR1,3,289
FST,3,3
HSD11B1,3,7
IGFBP1,3,20
CYTL1,3,19
IFI30,3,171
IGFBP4,3,285
CLSTN2,3,3
IGFBP6,3,246
IGFBP7,3,127
IGBP1,2,878
IGF2BP3,4,16
HEPH,3,10
HMCN2,3,11
IGF2R,3,30
IGFBPL1,3,67
IGF1R,3,67
HJV,3,9
IFNGR2,3,1
IGFBP2,3,61
IGSF3,3,181
IGHMBP2,1,631
IGSF8,3,878
HDAC8,4,34
HSP90B1,4,10
IL10RB,3,267
IL12A_IL12B,3,82
BRME1,4,2
CNTF,4,6
CORO6,3,13
CTLA4,4,8
F2,3,32
GUK1,4,10
HMGCS1,4,8
HTR1B,4,35
GIMAP7,2,7
CCL20,3,3
IGSF9,3,149
EBI3_IL27,3,12
ICAM3,3,50
IL12B,3,72
IL12RB1,3,14
IL15RA,3,53
IL18,2,181
DEFB4A_DEFB4B,3,7
IKBKG,1,826
IL18BP,3,305
CEACAM16,3,2
IL16,2,145
IL18R1,3,79
IL19,3,6
IL31,6,1
IL1RN,3,202
ANGPTL1,3,4
ERBB4,3,46
GDF2,3,12
IL1R1,3,56
IL1B,1,651
IL7,1,819
ILKAP,1,833
IMPA1,1,862
IMPACT,2,876
IL2RA,3,161
IMMT,3,469
ING1,1,734
INPP1,1,856
INPP5D,2,842
EDDM3B,7,2
IFNL2,4,16
INPPL1,1,836
IPCEF1,1,845
IQGAP2,1,765
IRAG2,1,704
IRAK1,1,866
IL3RA,3,10
IRAK4,1,850
ENPP6,3,9
ITGA11,3,31
IL13RA1,3,17
IL1R2,3,18
IL6ST,3,93
INHBC,3,75
ISM1,3,60
IST1,1,875
IGSF21,3,2
ITGA5,3,263
CRTAC1,3,2
FGFBP1,3,12
HPGDS,3,1
ITGA2,3,42
ITGAM,3,38
IL7R,3,8
ITGAV,3,45
ITGA6,1,749
IL32,3,7
ITGB1,3,119
ITGB1BP2,1,845
IGDCC4,3,19
ITGB2,3,74
IL13RA2,4,68
C9,3,2
FGL1,3,4
F12,3,2
IL4R,3,53
ITGB5,1,750
INHBB,3,124
ITPA,1,781
ITPR1,1,635
CD5L,3,2
JAM3,1,851
IKZF2,4,30
JPT2,1,861
KAZN,1,828
JUN,4,16
FCN2,3,2
HEPACAM2,3,2
KCTD5,2,721
EVPL,4,1
ITIH1,4,36
KHK,3,827
KIF22,1,654
KIR2DL2,8,1
JAM2,3,278
ITPRIP,4,32
FAM3D,3,5
KLK10,3,9
KLK1,3,8
INSL3,7,3
KIAA0319,3,43
KLK11,3,118
GPR15L,3,7
KLK13,3,6
KLK6,3,79
KLK7,3,10
GZMH,3,7
KLRB1,3,128
KLRD1,3,26
ITGBL1,3,25
AKR1B10,3,1
ALDH3A1,3,1
KRT18,3,157
KIFBP,1,847
KRT8,3,37
KYAT1,1,882
ISLR2,3,12
ITGB7,3,24
KIT,3,11
KLK8,3,101
KYNU,3,594
L3HYPDH,1,851
LACTB2,1,878
LAMTOR5,1,498
LAP3,1,756
LAMA4,3,570
LARP1,1,738
ITGB1BP1,1,17
LAT,1,856
LAT2,1,846
GGT5,3,6
KRT19,3,29
LAIR1,3,184
IL6,3,30
LATS1,1,863
KLKB1,3,29
CSF3R,3,6
FCGR3B,3,2
LAYN,3,265
KDR,3,11
LAMP2,3,41
LCAT,3,69
LBR,2,887
LDLR,3,92
LDLRAP1,1,855
LEP,3,121
LETM1,1,820
LGALS1,3,834
C1QTNF5,3,2
LGALS3,3,19
KRT5,3,3
IFNLR1,3,6
LAG3,3,47
LAMP3,3,65
LCN2,3,144
LGALS4,3,57
LGALS8,1,860
HMBS,2,82
L1CAM,3,64
LGALS9,3,313
LILRA2,3,42
LILRA3,3,2
LILRA5,3,92
LILRB1,3,49
LILRB4,3,118
LGMN,1,600
LMNB1,2,26
LEG1,9,2
LONP1,1,847
KIF1C,2,3
LHPP,2,280
LPP,1,823
ITIH3,3,10
LMNB2,3,159
LRP1,3,6
LRP11,3,224
LRCH4,2,874
LRPAP1,1,436
LRRC59,1,845
ITGB6,3,15
KLF4,2,44
LPCAT2,2,52
CLUL1,3,4
KAZALD1,3,22
LRRC25,3,100
