module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
6,GO:0002423,natural killer cell mediated immune response to tumor cell,3/246,11/18986,0.2727272727272727,21.048780487804876,7.620464989051918,3.283200134215065e-4,0.006751453366904069,0.005410211130256787,NECTIN2/CD160/IL12B,3
6,GO:0030167,proteoglycan catabolic process,3/246,11/18986,0.2727272727272727,21.048780487804876,7.620464989051918,3.283200134215065e-4,0.006751453366904069,0.005410211130256787,GPC1/GLB1/IDUA,3
6,GO:0038196,type III interferon-mediated signaling pathway,3/246,11/18986,0.2727272727272727,21.048780487804876,7.620464989051918,3.283200134215065e-4,0.006751453366904069,0.005410211130256787,IL10RB/IFNGR1/IFNLR1,3
6,GO:0071358,cellular response to type III interferon,3/246,11/18986,0.2727272727272727,21.048780487804876,7.620464989051918,3.283200134215065e-4,0.006751453366904069,0.005410211130256787,IL10RB/IFNGR1/IFNLR1,3
6,GO:0046632,alpha-beta T cell differentiation,8/246,133/18986,0.06015037593984962,4.642337551195061,4.829518555477075,3.453608729206624e-4,0.007059093023010889,0.005656735160139956,TGFBR2/IL18R1/IL6/LILRB4/CD83/IL18/IL12B/CD80,8
6,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,10/246,205/18986,0.04878048780487805,3.764822526274043,4.5600845423796,3.540977863271931e-4,0.0071943340659171625,0.005765109247293663,NBL1/FSTL3/VWC2/CHRDL1/CDH3/CCN3/BAMBI/BMPER/TGFBR3/VASN,10
6,GO:0007249,canonical NF-kappaB signal transduction,13/246,327/18986,0.039755351681957186,3.0682727928196716,4.322406165792805,3.5915950949037486e-4,0.007253739379171679,0.005812713114120541,TNFSF14/TNFRSF19/EDA2R/LILRB4/LTBR/CLEC4D/VEGFA/CD40/MTDH/CD74/PARP1/ROR1/TGFBR3,13
6,GO:0050868,negative regulation of T cell activation,8/246,134/18986,0.05970149253731343,4.607693241111516,4.8016593643413605,3.6325200984171967e-4,0.00729298265912991,0.005844160332738474,MAD1L1/TNFRSF14/LILRB4/CD74/TNFRSF21/CD274/CD300A/CD80,8
6,GO:0030101,natural killer cell activation,7/246,102/18986,0.06862745098039216,5.296588554120835,4.984997194017574,3.655309499743578e-4,0.007295567725076446,0.005846231850054281,IL18R1/ULBP2/IL18/CD160/SH2D1A/NCR1/IL12B,7
6,GO:0002837,regulation of immune response to tumor cell,4/246,27/18986,0.14814814814814814,11.43390545016561,6.215973105244022,3.817882985761581e-4,0.0074994360876832296,0.006009599768714468,NECTIN2/CD274/CD160/IL12B,4
6,GO:0048245,eosinophil chemotaxis,4/246,27/18986,0.14814814814814814,11.43390545016561,6.215973105244022,3.817882985761581e-4,0.0074994360876832296,0.006009599768714468,CCL16/CCL7/CCL15/CCL14,4
6,GO:0050777,negative regulation of immune response,10/246,207/18986,0.04830917874396135,3.72844742940183,4.522229442235976,3.82376198988859e-4,0.0074994360876832296,0.006009599768714468,AMBP/TNFRSF14/LILRB4/PARP1/CD274/CD160/CD46/IL12B/CD300A/CD80,10
