name,wX_01,wX_02,wX_03,wX_04,wX_05,wX_06,wX_07,wX_08,wX_09,wX_10
PDGFA,-0.13005223996439016,0.058979901662347255,0.03654455950512116,-0.06779506946299788,-0.05259512030438122,0.26623517188294715,0.08301353051624359,-0.09877843055644854,-0.1825667229120875,-0.19437670086563455
PDGFRB,-0.0037456279891052748,-0.005902760152607191,-0.004036885686654068,-0.028338317164441542,-0.0018725463706829582,0.003139980487613901,0.02949805360949475,0.03771329762235565,-0.025236959545053533,0.016227597431096225
PEAR1,-0.01754593987449,0.08732992132713925,-0.008546645572958448,0.01910102916932558,0.002060916376810335,-0.047153715073853804,0.11645896307138837,-0.03755328949568562,-0.04871443283882985,-0.025907115186509393
PGF,0.06141188914630173,-0.03566640962316173,-0.041831643709264156,0.02008821538156576,0.0883431623770465,0.010082632373219836,-0.01780762049560131,0.12265699579338138,0.18406351965658344,-0.023372343903993696
PPP1R9B,-0.02421891381621749,0.01296919052306373,-0.12919079689754723,-0.022479179136549652,-0.035494878350813414,-0.00877993550544972,0.14450843593128723,0.03029928288926655,-0.05500112315179194,0.07267139066988304
PRDX5,-0.06297085145548133,-0.19368205752858342,0.16365648925349577,-0.024916319642537803,-0.10208967585027977,-0.12868448026370222,0.01787407942496178,0.04825376328011481,-0.015066112598042478,-0.040850391276974284
PRDX6,-0.04228505812963162,0.05724457298754733,-0.03586763343709761,0.07212867339229218,-0.05664521426092864,-0.03273627677403477,0.04027796297414299,-0.05442679963980005,-0.06636231793415395,0.06779222030421234
PRTG,0.0023623538314258706,-0.0719303673527196,0.056168140848462646,0.033614146210739555,0.013052547748712845,0.03830471244951362,0.06302342779773966,0.03479702299502993,0.027906299792490184,0.17845054725153248
PTPRF,0.044273113193505506,0.09129432211739584,0.0619759443731355,-0.17766522935600987,-0.006994213818940035,-0.05603168071897527,-0.08886882048226528,0.02107712673623818,-0.04473263308333077,0.014844692174275566
PTPRS,-0.0511947957941735,0.14758016581158784,-0.13282854212751094,-0.1080798368994617,0.0512292772645832,0.01616861886707733,0.02784632851020239,0.012882823031769899,-0.04076183810726973,-0.01913712847130858
REG1B,0.004512457528821229,-0.011709174368803466,0.0243397440417857,0.03375234700910881,0.024827285084857025,0.027844541766169417,0.1524812664549808,0.0022404372264368637,0.09063097041759274,0.11315994633756714
REG3A,-0.012755383687195398,0.07429965150199773,0.012495150043870936,-0.05743656840595844,-0.05671486025267574,-0.04677330579577989,0.001162897450370484,0.003998555823997769,-0.06336423240308024,-0.04835957874544321
RSPO3,-0.016047744582479886,0.032912153933186035,-0.029622745803539796,0.01994572519364622,0.0010312251664385608,-0.02359563750358942,0.05201232321319665,-0.008192551148938262,0.024483058691345455,0.028540837247536237
RTN4R,0.10749692902992213,0.08351956489563216,-0.14284001620270306,0.1075423990682056,0.09389570241936489,-0.22160138287250367,-6.70663925615334e-4,0.10435214789057343,0.10943968473205164,-0.08977337751066325
SCARF1,0.05324752384652975,-0.020151368869491846,0.1230743421570694,-0.11106456208537417,0.2248649383354252,-0.02352439270208897,0.09847620416832285,-0.08125731310748048,0.09910709977195065,-0.012393264886622984
SELE,0.11168960241733009,-0.013186998121447998,0.025521955447632357,0.07492987541647299,-0.0066008071060322015,-0.06504029386226369,-0.028678206855366963,-0.013247003034993831,0.08631158010435372,0.13878887567065748
SERPINA11,-0.005487579174507346,0.03510602622238108,0.07872759473518672,-0.02388039260520789,-0.048536708617281515,0.17130221550756833,-0.05300642736117588,0.14569598964927302,0.178584806076497,-0.02640545507203791
SERPINB8,0.0019647721669150534,0.05489355006597655,0.03515175580905392,-0.004538779158832508,-0.023273601068520486,0.04959830947491426,0.008808927292222338,0.030141767793422862,0.01617774774316416,0.023701955958326318
SERPINE1,0.16383427415957866,-0.08582282927169435,-0.045667522779533336,0.1863752788303999,-0.05523534252907353,-0.10753072220343902,-0.04593688943004144,0.35345193443022344,0.07599582556128102,0.3246460306824089
