name,u_01,u_02,u_03,u_04,u_05
DUSP3,0,0,0,0,0
EBAG9,0,0,0,0.008066636960573303,0.03713238245489805
EBI3_IL27,-0,-0,-0,-0,-0
ECE1,0,0,-0,0,0
EDA2R,0,-0,0,-0,0
EDAR,0,0,0,0,0
EDIL3,0,0,-0,0,0
EFEMP1,0,-0,0,-0,-0
EFNA1,0,0,0.016358892395553583,0,0.015035468213949884
EFNA4,0.008130688005107625,0,0.043924432514990903,0,0.03552223737093025
EGF,0,0,0,0,0.005627765107370309
EGFL7,0,0,0,0,0.010201980477489265
EGFR,-0,0,-0,0,0
EGLN1,0.04827675921272675,0.03526271486781002,0.038494308305518664,0.0196305253030519,0
EIF4B,0,0,0,0.006113608487096601,0.02627475320157836
EIF4EBP1,0,0,0,0,0
EIF4G1,0,0,0,2.450206536838061e-4,0.03900802736346618
EIF5A,0,0,0,0,0
ELOA,0.018351810441692394,0.01162692260691709,0.023322168701284347,0.0036862457460845387,0.013233002355869277
ENAH,0,0,0,0,0.007148480616282038
ENG,-0,-0,-0,-0,-0
ENO1,0,0,0,0,0
ENO2,0,0,0,0,0
ENPP2,0,0,-0,0,0
ENPP5,-0,0,-0,0,-0
ENPP7,0.007652017786154514,0.009721853620464493,0,0.004121758952520691,0.03294386098704271
ENTPD2,0,0,-0,0,0
ENTPD5,-0,-0,-0,-0,-0
ENTPD6,0,0,-0,0,0
EPCAM,-0,-0,-0,-0,-0
EPHA1,0.06371732681694943,0.052129083550666235,0.11803644835549718,0.03814256410823678,0
EPHA10,0,0,-0,0,0
EPHB4,0,0,0,-0,0
EPHB6,0,0,0,0,0
EPHX2,0,0,0,0,0
EPO,0,0,0,0,0
EPS8L2,0.011874745993777216,0.013582194555302848,0,0.005655995626982411,0.02348786243544651
ERBB2,0.04685199249877852,0.06209432408335949,0,0.08570985603881227,0
ERBB3,0.040753784071031626,0.07408660833875381,0,0.11534761634950122,-0
ERBB4,-0,-0,-0.005009419793995563,-0,-0.006095045477306868
ERBIN,0,0,0,0.00205249307490565,0.03420066916172656
EREG,0,0,0,0,0.026218477892653153
ERP44,0.04506409402621685,0.049814327691836836,0,0.061283790411314,0
ESAM,0,0,0,0,0.004397316855504212
ESM1,-0,-0,-0,-0.001750455791499481,-0.037340473382267064
EZR,0.04568839919087074,0.0430904809799527,0.0034005695771239,0.040400977331336914,0
F11R,0.03898623196703961,0.03925673047441805,0.009621263146339574,0.03784821559124684,0
F2R,0,0,0,0,0.0010747369277128054
F3,-0,-0,-0,-0,-0
F7,0.10651592689420863,0.12773443140011173,0.02998567805652994,0.14702512082702834,-0.043967575683652275
F9,0.10318566678876089,0.09258178847467559,0.11426955765317341,0.07896220887500219,-0
FABP1,0,0,0.03980165176351859,0,0.02874665499792336
FABP2,-0,-0,0,-0,-0
FABP4,0.09500446262378423,0.07283582433126848,0.13473600096510735,0.04568616476596169,-0
FABP5,0.007638483936667357,0.006834723420813436,0.016739763070943783,0.013498927348827303,0.03155055132253421
FABP6,0,0,0,0,0
FABP9,0,0,-0,0,0
FADD,0,0,0,0,0
FAM3B,0,0,-0,0,0
FAM3C,0,0,0,0,0.043051857307575825
FAP,0,0,-0,0,0
FAS,0,0,0,0,0.03293977522171017
FASLG,0,0,-0,0,0
FBP1,0,0,0,0,0.023839077393684346
FCAR,0,0,0,0,0
FCER2,0,0,0.0234943888201967,0,0
FCGR2A,0,0,0,0,0
FCGR2B,0,0,0,0,0
FCGR3B,0,-0,0,0,0
FCN2,0.005988111228779422,0.014509146528924923,0.007345494341104189,0.03819109841709229,0.014822485761055687
FCRL1,0,0,0,0,0
FCRL2,0,0,0,0,0
FCRL3,0,0,0,0,0
FCRL5,0,0,0,-0,0
FCRL6,0,0,0,0,0
FCRLB,0,0,0,0,0
FEN1,0,0,0,0,0
FES,0,0,0,0,0
FETUB,0.011207594813784347,0.01475043068112758,0.031005520222351087,0.01331981334464519,0.017514912410324136
FGF19,0,0,-0,0,0
FGF2,0,0,0,0,0
FGF21,0.10467776618882099,0.09058367903039602,0.0929963757297002,0.06721079073170384,-0
FGF23,0,0,0,0,0.014437144677117401
FGF5,-0,-0,-0,-0,-0
FGFBP1,-0,0,-0.055365162761584694,0.01707847537504186,-0
FGFR2,0.062350896263568795,0.05853287419048443,0.055779979063499956,0.0433640315824835,0
FGR,0,0,0,0,0
FHIT,0,0,0,0,0
FIS1,0,0,0,0,0.023759784649869328
FKBP1B,0,0,0,0,0
FKBP4,0,0,0,0,0.02548522548510022
FKBP5,0,0,0,0,0
FKBP7,0,0,0,0,0
FLI1,0.03325702599681788,0.04291897012110626,0,0.060174511465140905,0
FLRT2,-0,-0,-0,-0,-0
FLT1,0,0,-0,0,0
FLT3,-0,-0,-0,-0,-0
FLT3LG,0,0,0,0,0
FLT4,0,0,0.019085065947735822,0,0.04141160636450805
FMNL1,0,0,0,0,0.035524802071002275
FMR1,0,0,0,0,0
FOLR1,-0,-0,0,-0,-0
FOLR2,0,-0,0,-0,0
FOLR3,-0,-0,0,-0,-0
FOSB,0,0,0,0,0
FOXO1,0,0,0,0.002918655497319296,0.031941574744560816
FOXO3,0,0,0,0,0
FRZB,0,0,0,0,0
FST,0,0,0,0,0.016604773703683445
FSTL3,0.017131881534411482,0,0.037165970934885335,0,0.022362631624815818
FUCA1,0,0,0,0,0
FURIN,0.16035799808986734,0.15780233678479433,0.14246730893329196,0.13172508072347797,-0.1445240282425898
FUS,0.0024696728200900514,0,3.1736961636273035e-4,0,0.04655421173097689
FUT3_FUT5,-0,-0,-0,-0,-0
FUT8,0,0,0,0,0
FXN,0,0,0,0,0
FXYD5,0,0,0,0,0
FYB1,0.014234928647395811,0.021176963784563078,0,0.03354376964904045,0
GAL,-0,-0,-0.004402536847917215,-0,-0
GALNT10,0.007166385374520943,0.014020804206690756,0,0.015719939402982837,0.025166432975296266
GALNT2,0,0,0,0,0
GALNT3,0,0,0,0,0
GALNT7,0,0,0,0,0
GAS6,-0,-0,-0,-0,-0
GBP2,0,0,0,0,0
GBP4,0,0,0,0,0
GCG,0.09718122540184329,0.09024340365276198,0.018851214891766017,0.049558064449144484,-0
GCNT1,0,0,0,0,0
GDF15,0,0,0.03347844264882102,0,0.00205588493906929
GDF2,-0,0,-0,0,0
GDNF,0,0,0,0,0
GFAP,-0,0,-0,0,-0
GFER,0.018686984883878977,0.020630659161739257,0,0.02438896692631819,0
GFOD2,0,0,0,0,0
GFRA1,0.020644685332420806,0.007244719770169838,0.021142481328367595,0,0.020503712343412195
GFRA2,0,0,0,0,0
GFRA3,-0,-0,-0,-0,-0
GGA1,0,0,-0,0,0
GGH,0,0,0.039272704014233085,0,0.0049725922067668914
GGT1,0.06419128186383607,0.06858708869553706,0.035595304493267824,0.05551104059893767,-0
GGT5,0,0,-0,0,0
GH1,-0,-4.541531899871642e-4,-0,-0.009438705459459256,-0.03756076783808882
GH2,0,0,0,0,0
GHRHR,0,0,0,0,0
GHRL,0,0,-0,0,0
GKN1,0,0,-0,0,0
GLB1,0,0.0016552175306665591,0,0.0073338336359489486,0.0437532427931028
GLO1,0,0,0,0,0
GLOD4,0,0,0,0,0
GLRX,0,0,0,0,0
