name,type,module
HARS1,NA,4
PARK7,NA,4
CYB5R2,NA,4
VPS4B,NA,4
PCBP2,NA,2
HDGFL2,NA,2
HSPA1A,NA,4
GH1,NA,2
JPT2,NA,4
UBE2L6,NA,4
FADD,NA,4
ACAA1,NA,2
NFASC,NA,3
IST1,NA,4
CACNB3,NA,2
RNASE1,NA,3
TMEM106A,NA,4
PLPBP,NA,4
DTD1,NA,4
DTYMK,NA,2
CIRBP,NA,4
GADD45GIP1,NA,4
CRADD,NA,4
SLC9A3R1,NA,4
STK11,NA,4
GALNT10,NA,2
VAMP8,NA,4
C4BPB,NA,4
CHMP1A,NA,4
LRG1,NA,4
AP3B1,NA,4
TBCA,NA,4
MANF,NA,4
SUOX,NA,5
GRP,NA,2
IMPA1,NA,4
RGS10,NA,4
MAN1A2,NA,1
SRPK2,NA,4
LONP1,NA,4
FUS,NA,5
RWDD1,NA,4
GTPBP2,NA,4
NT5E,NA,2
GLRX5,NA,4
IRAK4,NA,4
PLA2G4A,NA,4
FCN2,NA,2
STAT2,NA,4
B4GALT1,NA,6
ATP5IF1,NA,4
MAP2K1,NA,4
CCN3,NA,6
BTN3A2,NA,5
HS1BP3,NA,4
MCAM,NA,3
L3HYPDH,NA,4
PTPRN2,NA,6
ENO1,NA,4
RNASET2,NA,5
ATG16L1,NA,5
ARHGEF1,NA,4
MECR,NA,4
LDLRAP1,NA,2
MED18,NA,4
IL1R2,NA,2
NDUFB7,NA,4
RBM17,NA,4
TPP1,NA,5
PSIP1,NA,5
PEBP1,NA,4
APBB1IP,NA,5
PPP3R1,NA,4
CRKL,NA,4
USO1,NA,4
NCK2,NA,4
BTD,NA,2
ELOA,NA,5
EHBP1,NA,2
BCL2L1,NA,4
PDZK1,NA,5
AKT2,NA,4
NOS1,NA,6
KLK11,NA,6
CCL18,NA,4
EBAG9,NA,4
TNFRSF13B,NA,3
OTUD6B,NA,4
SEC31A,NA,4
MDK,NA,4
TNFRSF4,NA,3
AP1G2,NA,2
CTBS,NA,5
PIGR,NA,3
PHACTR2,NA,4
ANGPTL7,NA,3
DIABLO,NA,4
MGLL,NA,4
CCL15,NA,6
CASP3,NA,4
CASP7,NA,4
TBCB,NA,4
MAP4K5,NA,4
DSC2,NA,3
PRKAR2A,NA,2
FXYD5,NA,4
FHIT,NA,4
ADGRF5,NA,4
MCFD2,NA,4
RRAS,NA,4
CES2,NA,2
CIAPIN1,NA,4
TMED8,NA,4
MTHFSD,NA,2
HNRNPUL1,NA,5
TNFRSF9,NA,3
PIBF1,NA,4
VASP,NA,4
TALDO1,NA,5
MUC13,NA,3
LAMA4,NA,4
PMM2,NA,4
DBNL,NA,4
VASH1,NA,4
EIF2AK2,NA,5
PPM1F,NA,4
MINK1,NA,4
ENPP7,NA,2
RILPL2,NA,4
SIRT2,NA,4
VTI1A,NA,4
S100A4,NA,4
PLSCR3,NA,4
EGFR,NA,1
FGD3,NA,4
QDPR,NA,4
GPC1,NA,6
ARF6,NA,2
RBPMS2,NA,4
MITD1,NA,4
FUT8,NA,4
SOST,NA,2
ELAC1,NA,4
YAP1,NA,5
CCL17,NA,4
CDC37,NA,4
ITIH3,NA,2
TREML2,NA,4
FST,NA,2
ANGPTL3,NA,1
PRDX3,NA,4
MTIF3,NA,4
IL7,NA,4
YARS1,NA,4
WFIKKN2,NA,3
CXCL10,NA,2
PBLD,NA,2
RSPO1,NA,4
ACOT13,NA,4
BCR,NA,4
MSR1,NA,4
ERBIN,NA,4
NUB1,NA,4
EIF4E,NA,4
CSTB,NA,3
ERN1,NA,5
DRG2,NA,4
PRELP,NA,6
SMAD5,NA,2
CACYBP,NA,4
GGACT,NA,4
HTRA2,NA,4
GAL,NA,3
IL7R,NA,3
TNFRSF21,NA,6
NFU1,NA,4
SARG,NA,2
RTN4IP1,NA,4
PDLIM7,NA,4
STAT5B,NA,4
HPCAL1,NA,4
CCL20,NA,4
FOLR2,NA,3
MEPE,NA,6
F11,NA,4
LGMN,NA,4
DCTD,NA,4
RAB10,NA,4
ROR1,NA,6
NCAM2,NA,3
MAP2K6,NA,4
PTPN6,NA,4
PXN,NA,5
FLT4,NA,4
CD22,NA,3
TWF2,NA,4
CD274,NA,5
RGCC,NA,4
THOP1,NA,2
GRAP2,NA,4
PRKAR1A,NA,4
GLB1,NA,5
PTRHD1,NA,4
JAM3,NA,4
LCN2,NA,4
GORASP2,NA,4
DNAJB6,NA,4
SYTL4,NA,4
IGFBPL1,NA,3
GPKOW,NA,2
DGKA,NA,4
CCL26,NA,4
NUDC,NA,4
CA13,NA,4
ALDH1A1,NA,5
IFNLR1,NA,5
ENO2,NA,4
TIMM10,NA,4
CMIP,NA,4
TACC3,NA,4
GMPR2,NA,4
CD83,NA,5
SIGLEC1,NA,3
IGFBP3,NA,1
WASHC3,NA,4
FABP1,NA,3
PGLYRP1,NA,4
PSMG3,NA,3
LRRC59,NA,4
BAX,NA,4
STAMBP,NA,4
SKAP2,NA,4
SLA2,NA,4
PVR,NA,1
BST2,NA,4
RHOC,NA,4
MSTN,NA,6
NT5C,NA,4
TARBP2,NA,4
CRYZL1,NA,4
BLOC1S3,NA,2
HEXIM1,NA,4
C5,NA,4
FCER2,NA,3
ESYT2,NA,4
C19ORF12,NA,5
RAB27B,NA,4
PRTFDC1,NA,4
METAP2,NA,4
PPP1R9B,NA,4
SERPINH1,NA,4
PHLDB1,NA,5
COX5B,NA,4
EVI5,NA,4
SRC,NA,4
SUGT1,NA,4
PON2,NA,5
UMOD,NA,5
CETN3,NA,4
F13B,NA,1
CC2D1A,NA,2
MPHOSPH8,NA,4
CD300C,NA,5
FKBP5,NA,4
MARCO,NA,4
IL18,NA,5
EIF4B,NA,4
FAM172A,NA,4
AKT3,NA,4
CXCL3,NA,4
MAPK9,NA,2
UBXN1,NA,4
TXNDC9,NA,4
CDKN2D,NA,4
CALB2,NA,3
VPS53,NA,4
CHGB,NA,6
DOK1,NA,4
DXO,NA,4
CGREF1,NA,6
MAX,NA,4
CASP2,NA,4
ARHGAP45,NA,4
PKD2,NA,4
KIFBP,NA,4
BAG4,NA,5
DNMBP,NA,4
ICA1,NA,4
CALCOCO2,NA,4
STK4,NA,4
CNP,NA,4
ASGR2,NA,5
VNN1,NA,2
MGMT,NA,4
MTSS1,NA,2
SIGLEC8,NA,5
AXIN1,NA,4
CD160,NA,6
GDF2,NA,3
SPRY2,NA,4
STK24,NA,4
PDGFC,NA,2
CD6,NA,2
MMP1,NA,4
RETN,NA,3
FMNL1,NA,5
C8B,NA,4
GRN,NA,4
GZMA,NA,5
GIPC3,NA,4
ACRBP,NA,4
CLC,NA,4
MARS1,NA,4
CNST,NA,4
COCH,NA,5
CD46,NA,6
COMMD1,NA,4
TJAP1,NA,4
CXCL17,NA,5
CEP43,NA,4
PLIN3,NA,4
RAB11FIP3,NA,4
PTPN1,NA,4
TXNRD1,NA,4
BAG3,NA,6
SRP14,NA,5
LETM1,NA,4
ACYP1,NA,4
LMNB2,NA,5
ILKAP,NA,4
EFEMP1,NA,6
SNRPB2,NA,5
PLCB2,NA,4
ITGB1BP2,NA,4
PLEKHO1,NA,4
GGCT,NA,4
PBXIP1,NA,2
MTSS2,NA,2
PRKG1,NA,4
HNRNPK,NA,4
ASAH1,NA,4
MET,NA,3
COMT,NA,4
NSFL1C,NA,4
CASC3,NA,4
PFKFB2,NA,4
IL2RA,NA,4
CDC26,NA,4
GOPC,NA,4
THPO,NA,1
TNIP1,NA,4
SMPD1,NA,3
ITPR1,NA,4
GBP1,NA,4
ADA2,NA,3
CCL14,NA,6
PRDX5,NA,4
LGALS7_LGALS7B,NA,6
SH2D1A,NA,5
BMP10,NA,3
CLIP2,NA,4
GHRL,NA,1
ZFYVE19,NA,4
FKBPL,NA,4
BAMBI,NA,6
THBS2,NA,3
TIMM8A,NA,4
PSAP,NA,4
MLN,NA,2
DNAJC6,NA,2
F12,NA,1
LAMP3,NA,5
TFF3,NA,6
GIGYF2,NA,4
MOG,NA,6
CLPP,NA,4
STXBP1,NA,4
ENPP6,NA,3
MMP7,NA,4
DAPP1,NA,4
SAMD9L,NA,4
NCR1,NA,6
CD59,NA,4
YWHAQ,NA,4
MDH1,NA,4
SCGB3A2,NA,3
CTF1,NA,4
SETMAR,NA,4
VAT1,NA,3
SSNA1,NA,4
KCTD5,NA,5
ACP5,NA,4
NFKBIE,NA,5
KAZN,NA,4
TDRKH,NA,4
CASP8,NA,4
ITGA2,NA,1
BECN1,NA,2
BANK1,NA,4
AP3S2,NA,4
PPP1CC,NA,4
CXCL11,NA,4
IFNGR2,NA,1
FKBP4,NA,4
PZP,NA,4
CA4,NA,6
FSTL1,NA,5
ESM1,NA,4
B4GAT1,NA,3
TREM2,NA,5
AGXT,NA,5
HBQ1,NA,4
NFKB1,NA,5
GP1BB,NA,4
OXCT1,NA,4
CCDC80,NA,6
FGF23,NA,6
PPCDC,NA,4
INPP1,NA,4
TYMP,NA,4
CD163,NA,4
CCL28,NA,4
MAPKAPK2,NA,4
STIP1,NA,4
TFF1,NA,6
MOCS2,NA,4
SLITRK1,NA,3
ARFIP1,NA,4
SPON2,NA,6
USP25,NA,4
MASP1,NA,2
CDC42BPB,NA,4
IDUA,NA,5
KLK6,NA,6
BMPER,NA,5
CCL3,NA,4
ARHGEF12,NA,4
ACADSB,NA,4
KLK8,NA,6
INPPL1,NA,4
TCOF1,NA,5
CTSB,NA,3
APEX1,NA,5
TBL1X,NA,4
CD93,NA,6
CPXM2,NA,5
IL18BP,NA,6
IL12A_IL12B,NA,5
B2M,NA,4
SULT1A1,NA,4
PRSS2,NA,6
EIF4EBP1,NA,4
VAV3,NA,4
TNFAIP2,NA,4
TBC1D23,NA,4
SHMT1,NA,4
INHBB,NA,4
WWP2,NA,4
CES3,NA,2
RGMA,NA,6
KYAT1,NA,4
IMPACT,NA,4
PMVK,NA,4
CETN2,NA,4
GATD3,NA,4
KLRB1,NA,6
AHCY,NA,4
CXCL5,NA,4
DNM3,NA,4
TNFSF11,NA,1
CDSN,NA,6
DTNB,NA,4
SPART,NA,4
ANKMY2,NA,4
ABRAXAS2,NA,4
NFE2,NA,4
ASRGL1,NA,4
EHD3,NA,4
PAK4,NA,4
TFPI2,NA,4
SERPINB8,NA,5
HMGCL,NA,4
CD2AP,NA,5
SFRP4,NA,5
AAMDC,NA,2
OGA,NA,4
AREG,NA,3
ANGPTL1,NA,3
SPINK2,NA,4
FAM13A,NA,4
HMOX1,NA,3
EDAR,NA,4
TIMP4,NA,3
PDE5A,NA,4
PTPRS,NA,1
IMMT,NA,5
BRAP,NA,4
PSME2,NA,3
GOLGA3,NA,4
RRM2,NA,5
FOXO1,NA,4
BAP18,NA,4
IL12B,NA,6
REN,NA,3
GPRC5C,NA,5
UROD,NA,4
RNF149,NA,5
APOL1,NA,1
NAGK,NA,2
AMN,NA,5
TNFSF13,NA,4
SLMAP,NA,4
MEP1A,NA,3
ABHD14B,NA,4
OPLAH,NA,4
FCRL1,NA,3
SDCCAG8,NA,4
PPP1R14A,NA,4
LAG3,NA,3
HGS,NA,4
CD300A,NA,5
HEPH,NA,3
C1QTNF1,NA,5
RABEP1,NA,4
AKR7L,NA,5
FAM3B,NA,6
CCL13,NA,4
SIGLEC10,NA,3
AKT1S1,NA,4
CEACAM16,NA,3
BIN2,NA,4
ADAM8,NA,4
PPIF,NA,4
OGFR,NA,5
TST,NA,4
CERT,NA,4
AIF1,NA,4
TNFSF13B,NA,4
CASP10,NA,4
TNFSF12,NA,4
ARL2BP,NA,4
AMOT,NA,3
DDHD2,NA,4
CCL11,NA,4
CST6,NA,6
RBKS,NA,5
ZNRD2,NA,4
C1R,NA,4
DEFA1_DEFA1B,NA,6
DMP1,NA,3
CD80,NA,5
TSPYL1,NA,4
MAP2,NA,4
HSDL2,NA,4
EPS8L2,NA,5
REG1A,NA,6
PGD,NA,4
BOC,NA,3
TNFRSF8,NA,3
PTGES2,NA,4
TRIM58,NA,4
CALCA,NA,5
SPINK4,NA,6
NT5C3A,NA,4
SUGP1,NA,4
RAB33A,NA,4
PDLIM5,NA,4
FKBP1B,NA,4
COL2A1,NA,4
GNE,NA,4
NFATC1,NA,2
SH2B3,NA,4
VEGFB,NA,4
DNAJC9,NA,4
ANXA11,NA,4
IRAK1,NA,4
WASF1,NA,4
RABGAP1L,NA,4
SIRPB1,NA,6
BACH1,NA,4
SOD1,NA,4
ASAH2,NA,5
ATP6V1G1,NA,4
HIP1R,NA,5
ASPSCR1,NA,4
GIT1,NA,4
TRIM25,NA,4
TNF,NA,4
FABP3,NA,5
FOLR1,NA,6
HMOX2,NA,4
TGFBR3,NA,6
MAVS,NA,4
GASK1A,NA,3
RTBDN,NA,6
ANXA2,NA,4
BTC,NA,4
TRIM24,NA,4
RAB2B,NA,4
YOD1,NA,5
AZI2,NA,4
WDR46,NA,5
ITGBL1,NA,3
TAX1BP1,NA,4
WFDC2,NA,5
DENR,NA,4
RBFOX3,NA,5
MAN2B2,NA,3
DNM1,NA,4
CHM,NA,4
ST13,NA,4
VASN,NA,6
DYNLT1,NA,4
LPP,NA,4
fid_23578,NA,2
fid_23497,NA,2
fid_23500,NA,2
fid_23491,NA,1
fid_23493,NA,2
fid_23488,NA,2
fid_23515,NA,2
fid_23495,NA,2
fid_23490,NA,2
fid_23498,NA,1
fid_23485,NA,2
fid_23424,NA,2
fid_23407,NA,2
fid_23489,NA,2
fid_23484,NA,2
fid_23496,NA,2
fid_23412,NA,1
fid_23522,NA,2
fid_23492,NA,1
fid_23550,NA,2
fid_23509,NA,1
fid_23408,NA,2
fid_23508,NA,1
fid_23510,NA,1
fid_23648,NA,5
fid_23643,NA,5
fid_23499,NA,1
fid_23494,NA,2
fid_23486,NA,2
fid_23543,NA,2
fid_23435,NA,5
fid_23483,NA,2
fid_23420,NA,1
fid_23409,NA,2
fid_23447,NA,2
fid_23622,NA,5
fid_23481,NA,2
fid_23501,NA,1
fid_23428,NA,1
fid_23641,NA,5
fid_23640,NA,5
fid_23439,NA,1
fid_23529,NA,2
fid_23546,NA,1
fid_23544,NA,1
fid_23429,NA,1
fid_23482,NA,2
fid_23545,NA,1
fid_23536,NA,2
fid_23431,NA,3
fid_23547,NA,1
fid_23530,NA,1
fid_23523,NA,1
fid_23402,NA,1
fid_23505,NA,1
fid_23503,NA,1
fid_23401,NA,1
fid_23548,NA,1
fid_23413,NA,1
fid_23410,NA,2
fid_23638,NA,5
fid_23506,NA,1
fid_23441,NA,1
fid_23404,NA,1
fid_23514,NA,1
fid_23425,NA,1
fid_23571,NA,2
fid_23507,NA,1
fid_23539,NA,1
fid_23403,NA,1
fid_23537,NA,1
fid_23416,NA,1
fid_23480,NA,4
fid_23487,NA,2
fid_23538,NA,1
fid_23405,NA,1
fid_23532,NA,1
fid_23626,NA,1
fid_23562,NA,3
fid_23458,NA,5
fid_23433,NA,3
fid_23540,NA,1
fid_23417,NA,1
fid_23513,NA,1
fid_23558,NA,3
fid_23561,NA,3
fid_23442,NA,2
fid_23454,NA,5
fid_23511,NA,1
fid_23531,NA,1
fid_23512,NA,1
fid_23541,NA,1
fid_23627,NA,3
fid_23559,NA,3
fid_23549,NA,1
fid_23525,NA,1
fid_23504,NA,1
fid_23448,NA,2
fid_23533,NA,1
fid_23542,NA,1
fid_23421,NA,1
fid_23452,NA,2
fid_23534,NA,1
fid_23524,NA,1
fid_23563,NA,3
fid_23502,NA,1
fid_23560,NA,3
fid_23419,NA,1
fid_23535,NA,1
fid_23589,NA,3
fid_23633,NA,3
fid_23624,NA,1
fid_23519,NA,1
fid_23528,NA,1
fid_23526,NA,1
fid_23520,NA,1
fid_23440,NA,3
fid_23527,NA,1
fid_23516,NA,1
fid_23636,NA,5
fid_23418,NA,3
fid_23406,NA,3
fid_23521,NA,1
fid_23617,NA,5
fid_23570,NA,3
fid_23426,NA,3
fid_23642,NA,3
fid_23565,NA,3
fid_23568,NA,3
fid_23453,NA,5
fid_23430,NA,3
fid_23569,NA,3
fid_23555,NA,3
fid_23635,NA,5
fid_23414,NA,3
fid_23400,NA,1
fid_23471,NA,4
fid_23427,NA,3
