protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
PRSS8,fid_23410,10221,0.2636646129945056,3.859748387737279e-162,3.24091957752845e-160,0.25407948845149414,2.547665954963906e-150,1.5645123768170054e-148,+,0.2636646129945056,Triglycerides in HDL
TFPI,fid_23496,10254,0.263247540919851,3.9440170947204326e-162,3.3112955704222956e-160,0.2895396818078928,3.279678069789604e-197,3.7054303795416924e-195,+,0.263247540919851,Total Lipids in Large VLDL
BPIFB2,fid_23558,9881,-0.2679830509794269,4.0451302358371524e-162,3.3957958525474593e-160,-0.290788383162467,8.247012236982067e-192,8.740932249025698e-190,-,0.2679830509794269,Concentration of Large HDL Particles
CFP,fid_23624,9911,-0.2675915890186332,4.0494720036329065e-162,3.3990486218292324e-160,-0.29210419174076513,3.424881159126566e-194,3.739455414646882e-192,-,0.2675915890186332,Phospholipids to Total Lipids in Small LDL percentage
TNFRSF14,fid_23471,10312,0.26250920662344895,4.2169869436388936e-162,3.539249257642833e-160,0.26187509815161114,2.663406578653421e-161,1.9064705152651292e-159,+,0.26250920662344895,Lactate
MAD1L1,fid_23571,10252,0.2632396181608849,4.3367006534654886e-162,3.639303385806326e-160,0.27470616041464496,6.57745429801195e-177,5.796402505580752e-175,+,0.2632396181608849,Triglycerides in Medium HDL
CDHR5,fid_23418,10283,-0.2628458378609926,4.473075125708166e-162,3.7533143296273894e-160,-0.2688961470087905,8.16521279884264e-170,6.579785579875157e-168,-,0.2628458378609926,Cholesteryl Esters in HDL
LGALS9,fid_23622,10302,-0.2626117110099379,4.474893873542831e-162,3.754407588817358e-160,-0.2709653180455915,8.012999730834658e-173,6.7066209235213845e-171,-,0.2626117110099379,Free Cholesterol to Total Lipids in Medium LDL percentage
BCHE,fid_23633,9721,0.27003999208743684,4.770674727652185e-162,4.002104512451483e-160,0.32096791877240777,8.874345843357344e-232,1.4975628361078706e-229,+,0.27003999208743684,Triglycerides to Total Lipids in Very Large HDL percentage
FAM20A,fid_23552,9919,-0.26742211523011833,4.883520320888065e-162,4.0962981959098735e-160,-0.2858311890182566,8.08064535771285e-186,7.977905410700041e-184,-,0.26742211523011833,Total Lipids in Very Large HDL
KYNU,fid_23487,10432,0.2609928283010726,4.95008146401109e-162,4.151651234969809e-160,0.2593406439593205,6.106330595192974e-160,4.2948901025391546e-158,+,0.2609928283010726,Triglycerides in Chylomicrons and Extremely Large VLDL
DEFB4A_DEFB4B,fid_23628,10211,0.2636987448704506,5.015250088628703e-162,4.2058237426620156e-160,0.2681516348228367,1.1050181463438225e-167,8.636834647755427e-166,+,0.2636987448704506,Triglycerides to Total Lipids in Small LDL percentage
MAD1L1,fid_23605,10252,-0.2631714697601357,5.285206254062261e-162,4.4317002445568816e-160,-0.2756092825600131,4.166922705115138e-178,3.73267550977949e-176,-,0.2631714697601357,Cholesterol to Total Lipids in Very Small VLDL percentage
AGRP,fid_23603,10432,0.2609646567697895,5.375219606096369e-162,4.506658173305267e-160,0.27303099361070554,9.92480140700387e-178,8.849122177698648e-176,+,0.2609646567697895,Triglycerides to Total Lipids in Small VLDL percentage
KITLG,fid_23627,10283,0.262767478512636,5.617021982443568e-162,4.7088461856898814e-160,0.24926598873692327,1.9474466891464166e-145,1.1191506367322297e-143,+,0.262767478512636,Free Cholesterol to Total Lipids in Small LDL percentage
SKAP1,fid_23489,10256,0.2630907510465393,5.786143900206699e-162,4.850065365030221e-160,0.2749340101713965,2.804326159114957e-177,2.4857682321400092e-175,+,0.2630907510465393,Total Lipids in Very Large VLDL
