metabolite,metabolite_label,module_protein,k,K,n,p_fisher,q_fisher
fid_23518,Phospholipids in Very Small VLDL,3,22,1099,24,3.559734219522504e-6,9.323113432082748e-6
fid_23642,Free Cholesterol to Total Lipids in Medium HDL percentage,3,22,1099,24,3.559734219522504e-6,9.323113432082748e-6
fid_23645,Cholesterol to Total Lipids in Small HDL percentage,3,22,1099,24,3.559734219522504e-6,9.323113432082748e-6
fid_23646,Cholesteryl Esters to Total Lipids in Small HDL percentage,3,22,1099,24,3.559734219522504e-6,9.323113432082748e-6
fid_23405,LDL Cholesterol,3,19,1099,20,4.759305310415209e-6,1.231820197989819e-5
fid_23438,Sphingomyelins,3,19,1099,20,4.759305310415209e-6,1.231820197989819e-5
fid_23414,Phospholipids in HDL,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23427,Total Concentration of Lipoprotein Particles,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23430,Concentration of HDL Particles,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23440,Apolipoprotein A1,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23441,Apolipoprotein B to Apolipoprotein A1 ratio,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23565,Concentration of Medium HDL Particles,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23566,Total Lipids in Medium HDL,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23567,Phospholipids in Medium HDL,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23570,Free Cholesterol in Medium HDL,3,21,1099,23,7.125507252655053e-6,1.7515213358481694e-5
fid_23521,Free Cholesterol in Very Small VLDL,3,18,1099,19,9.850489802055513e-6,2.4078975071691255e-5
fid_23639,Phospholipids to Total Lipids in Medium HDL percentage,3,22,1099,25,1.6673263702565153e-5,4.053169076866667e-5
fid_23534,Cholesteryl Esters in Large LDL,3,17,1099,18,2.0326076142963454e-5,4.863436023696083e-5
fid_23479,Albumin,3,14,1099,14,2.0448537826903982e-5,4.863436023696083e-5
fid_23601,Cholesteryl Esters to Total Lipids in Small VLDL percentage,3,14,1099,14,2.0448537826903982e-5,4.863436023696083e-5
fid_23625,Cholesterol to Total Lipids in Small LDL percentage,3,14,1099,14,2.0448537826903982e-5,4.863436023696083e-5
fid_23406,HDL Cholesterol,3,21,1099,24,3.208591848458304e-5,7.469737636622507e-5
fid_23418,Cholesteryl Esters in HDL,3,21,1099,24,3.208591848458304e-5,7.469737636622507e-5
fid_23517,Total Lipids in Very Small VLDL,3,21,1099,24,3.208591848458304e-5,7.469737636622507e-5
fid_23557,Triglycerides in Very Large HDL,3,21,1099,24,3.208591848458304e-5,7.469737636622507e-5
fid_23530,Concentration of Large LDL Particles,3,16,1099,17,4.1803338853903385e-5,9.530294868247404e-5
fid_23531,Total Lipids in Large LDL,3,16,1099,17,4.1803338853903385e-5,9.530294868247404e-5
fid_23532,Phospholipids in Large LDL,3,16,1099,17,4.1803338853903385e-5,9.530294868247404e-5
fid_23533,Cholesterol in Large LDL,3,16,1099,17,4.1803338853903385e-5,9.530294868247404e-5
fid_23444,Omega-3 Fatty Acids,3,13,1099,13,4.4361652965180275e-5,1.0009808874194523e-4
fid_23631,Cholesteryl Esters to Total Lipids in Very Large HDL percentage,3,13,1099,13,4.4361652965180275e-5,1.0009808874194523e-4
fid_23471,Lactate,1,18,765,25,5.0229044453664236e-5,1.1275907938577685e-4
fid_23516,Concentration of Very Small VLDL Particles,3,20,1099,23,6.139531703032225e-5,1.357484396650341e-4
fid_23568,Cholesterol in Medium HDL,3,20,1099,23,6.139531703032225e-5,1.357484396650341e-4
fid_23569,Cholesteryl Esters in Medium HDL,3,20,1099,23,6.139531703032225e-5,1.357484396650341e-4
fid_23404,Clinical LDL Cholesterol,3,15,1099,16,8.566226821889686e-5,1.8659107928868624e-4
fid_23535,Free Cholesterol in Large LDL,3,15,1099,16,8.566226821889686e-5,1.8659107928868624e-4
fid_23542,Free Cholesterol in Medium LDL,3,15,1099,16,8.566226821889686e-5,1.8659107928868624e-4
fid_23640,Cholesterol to Total Lipids in Medium HDL percentage,3,21,1099,25,1.1300235609017547e-4,2.449312151708237e-4
fid_23472,Pyruvate,2,7,223,14,1.1523064888779577e-4,2.485366936795595e-4
fid_23461,Glutamine,2,5,223,7,1.2698885613817034e-4,2.72561447320951e-4
fid_23505,Cholesterol in Medium VLDL,3,14,1099,15,1.7483282766229749e-4,3.663164008162424e-4
fid_23526,Cholesterol in IDL,3,14,1099,15,1.7483282766229749e-4,3.663164008162424e-4
