protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
PPIB,fid_23471,Lactate,0.26753648564010457,4.104754207653803e-164,0.2650123055517093,5.1834135057909586e-161,+,0.26753648564010457
PPIB,fid_23480,Glycoprotein Acetyls,0.2367441204552924,1.0013785098256477e-127,0.2283366114965711,1.0477757221896271e-118,+,0.2367441204552924
PPIB,fid_23624,Phospholipids to Total Lipids in Small LDL percentage,-0.1667890883859964,4.194117645583159e-63,-0.16063191253784492,1.310399767303886e-58,-,0.1667890883859964
PPIB,fid_23447,Monounsaturated Fatty Acids,0.16023125435583316,2.7989905042081954e-58,0.15542296673390305,6.526900744492252e-55,+,0.16023125435583316
PPIB,fid_23448,Saturated Fatty Acids,0.15924979593095728,1.4174145453491246e-57,0.15153738968076022,3.085782545553037e-52,+,0.15924979593095728
PPIF,fid_23471,Lactate,0.21459092913800815,1.3207191906056144e-104,0.2075852704688863,7.261569409934337e-98,+,0.21459092913800815
PPIF,fid_23480,Glycoprotein Acetyls,0.1887224779413655,9.490042608584951e-81,0.18335774585345385,2.915031806208585e-76,+,0.1887224779413655
PPIF,fid_23447,Monounsaturated Fatty Acids,0.1265207884119806,1.1328109970218633e-36,0.12575030253838468,2.838558538668527e-36,+,0.1265207884119806
PPIF,fid_23448,Saturated Fatty Acids,0.1257452783629856,3.0834659772139766e-36,0.12430786821070684,1.801042394510183e-35,+,0.1257452783629856
PPIF,fid_23461,Glutamine,-0.1250837878028652,7.209265256505396e-36,-0.1204240207642105,2.334791682524036e-33,-,0.1250837878028652
PPL,fid_23478,Creatinine,0.2005152890264817,3.2808076512808754e-91,0.19790439572066695,6.977763767268966e-89,+,0.2005152890264817
PPL,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.1596243510290489,7.639599742787745e-58,-0.17683724528846534,6.089700169109378e-71,-,0.1596243510290489
PPL,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,0.1570204568146527,5.4342108721703625e-56,0.17349067815088173,2.719642168176872e-68,+,0.1570204568146527
PPL,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.15345759266912662,1.6464207358710407e-53,-0.1674800275338943,1.1464669187051149e-63,-,0.15345759266912662
PPL,fid_23480,Glycoprotein Acetyls,0.15248333123242022,7.661162707232708e-53,0.1609656254014277,7.514624822699467e-59,+,0.15248333123242022
PPM1F,fid_23471,Lactate,0.2478231134204691,3.0857075586421785e-140,0.2386140110436167,7.609207793483037e-130,+,0.2478231134204691
PPM1F,fid_23480,Glycoprotein Acetyls,0.19068281986522623,1.9301684083693541e-82,0.18948196172189988,1.8978401151383983e-81,+,0.19068281986522623
PPM1F,fid_23624,Phospholipids to Total Lipids in Small LDL percentage,-0.135406406676904,7.459036571074061e-42,-0.13413290555074964,4.0032249299493856e-41,-,0.135406406676904
