protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
CKB,fid_23481,-0.2834690535737864,4.914947649254532e-187,5.781414977917658e-185,-0.29454003782510124,1.8809995639020993e-202,2.1959023354168433e-200,-,0.2834690535737864
RBP5,fid_23443,-0.28345034151556203,5.211812991502466e-187,6.129623379331278e-185,-0.2922063451166394,3.8220508660276684e-199,4.285030160428438e-197,-,0.28345034151556203
CRIP2,fid_23481,0.28344571458684675,5.287939364807082e-187,6.218149581721559e-185,0.3231044031683779,1.6178836233445487e-245,3.1224853208686715e-243,+,0.28344571458684675
ADAMTS15,fid_23487,0.2834322235299904,5.516304756363972e-187,6.485637823314109e-185,0.3298313580487422,2.2737876172012768e-256,4.980890077148949e-254,+,0.2834322235299904
ADAMTS15,fid_23480,0.28342452482447483,5.651008895422032e-187,6.642937807647567e-185,0.3275024904279334,1.3966715366477206e-252,2.9246446835298167e-250,+,0.28342452482447483
FURIN,fid_23455,0.2834232796726463,5.673101830559611e-187,6.667830330865899e-185,0.2679824884988057,1.2672042699104827e-166,9.423402360377593e-165,+,0.2834232796726463
KRT18,fid_23638,0.28340582193415126,5.99209585713484e-187,7.041618470391549e-185,0.3065839942309774,5.039225827173362e-220,7.185924165568455e-218,+,0.28340582193415126
PRSS8,fid_23600,-0.2833980297536301,6.140200445468827e-187,7.214497300324204e-185,-0.2690271597769505,5.857434323902804e-168,4.441695197784662e-166,-,0.2833980297536301
ERBB3,fid_23550,0.28338623646457806,6.371335947070195e-187,7.484862579190201e-185,0.2892027234166779,6.22273550734055e-195,6.654225498802177e-193,+,0.28338623646457806
CRIP2,fid_23494,0.2833841716395604,6.412688981497739e-187,7.532225509229126e-185,0.32334977334978093,6.575904623922476e-246,1.2759133298745855e-243,+,0.2833841716395604
LEPR,fid_23559,0.28337715267608604,6.555275069589599e-187,7.698460387954238e-185,0.29369095784469057,3.030645574751532e-201,3.4925751605235935e-199,+,0.28337715267608604
BCHE,fid_23550,0.28337489357098156,6.601837620026003e-187,7.751890531827334e-185,0.29767246730643,6.097004049990809e-207,7.481836148335083e-205,+,0.28337489357098156
BCHE,fid_23420,0.28337112771595285,6.680191247889701e-187,7.842626530277692e-185,0.2959988391001139,1.5513996178009043e-204,1.8610419798743177e-202,+,0.28337112771595285
FAM20A,fid_23408,0.2833676078880695,6.754265405083988e-187,7.928309881528747e-185,0.2858262137525053,2.9328114774861757e-190,2.958171383559193e-188,+,0.2833676078880695
SERPINF1,fid_23629,-0.28336280678056913,6.856628166234235e-187,8.047166004670103e-185,-0.3137831765458986,6.210697766381562e-231,1.005821672958306e-228,-,0.28336280678056913
LRCH4,fid_23480,0.28334238619897456,7.30960271319104e-187,8.577406925462313e-185,0.2896741858190595,1.3686665834609313e-195,1.4750731042756407e-193,+,0.28334238619897456
APOD,fid_23606,0.2833289682440474,7.623392186880461e-187,8.944177185766768e-185,0.35971560457785323,5.287437448239783e-308,2.0355261906470176e-305,+,0.2833289682440474
ITGA5,fid_23458,-0.2833279384295848,7.648023864921642e-187,8.971628201686349e-185,-0.28250338601873815,1.0077792095314158e-185,9.627828215601058e-184,-,0.2833279384295848
TNFAIP8L2,fid_23471,0.2833247485578887,7.724826530243153e-187,9.060260435377055e-185,0.2637267574099612,3.0210249340197502e-161,2.079331982782679e-159,+,0.2833247485578887
CCL27,fid_23435,0.28331934619978255,7.85666023937461e-187,9.213398222724891e-185,0.27904954542017807,4.492962853275662e-181,4.056676625601494e-179,+,0.28331934619978255
PLAT,fid_23492,0.2833081376173865,8.137393770993751e-187,9.541071224334827e-185,0.28869793408397015,3.138732533322883e-194,3.3250664712543425e-192,+,0.2833081376173865
ADH4,fid_23480,0.2833076706200144,8.149305274684916e-187,9.553496293716955e-185,0.29871693774861524,1.8864257720050527e-208,2.357484061712869e-206,+,0.2833076706200144
GPD1,fid_23486,0.2832979548410861,8.401109494758731e-187,9.84710016962584e-185,0.29225341122621,3.2801255157279064e-199,3.680866000805975e-197,+,0.2832979548410861
ADH4,fid_23595,-0.28328839112774457,8.656559821015291e-187,1.0144882346450121e-184,-0.2804099261065085,6.750244692145636e-183,6.230205841062736e-181,-,0.28328839112774457
DNAJB1,fid_23485,0.28327810158840666,8.940066049247965e-187,1.0475442764212393e-184,0.290112477802006,3.3400383760571715e-196,3.6255128926344237e-194,+,0.28327810158840666
PTH,fid_23499,0.28326910869826066,9.195428785341422e-187,1.0772925047515298e-184,0.2957674940114727,3.326442252859347e-204,3.9746200050764625e-202,+,0.28326910869826066
APCS,fid_23640,-0.28326440178018436,9.331977818521825e-187,1.0931137421134627e-184,-0.2938593940024692,1.7474166844427527e-201,2.0198419468355763e-199,-,0.28326440178018436
CDKN1A,fid_23407,0.28326380382683597,9.349468959366982e-187,1.0949861220118696e-184,0.27744086986542416,6.239912025505796e-179,5.474184064466388e-177,+,0.28326380382683597
FTCD,fid_23571,0.28326057545667754,9.44447133925505e-187,1.1059343560467354e-184,0.290040481972907,4.2115907930049197e-196,4.566101950582576e-194,+,0.28326057545667754
CD72,fid_23561,-0.28325816797256287,9.51594420199396e-187,1.1141242332924406e-184,-0.2910096088274468,1.847266624868232e-197,2.0346274408540716e-195,-,0.28325816797256287
CFP,fid_23512,0.28325509631249335,9.60791977022436e-187,1.1247115372059821e-184,0.316729721450997,1.735071628339979e-235,2.980628330649906e-233,+,0.28325509631249335
CD72,fid_23569,-0.2832531225331493,9.667489182454403e-187,1.131502549109906e-184,-0.28366502211735833,2.6586292798394733e-187,2.589966731128541e-185,-,0.2832531225331493
SIT1,fid_23604,0.28324993092004286,9.764594688739836e-187,1.1426839675111035e-184,0.27665340355537354,6.898771658556877e-178,5.9622367459697424e-176,+,0.28324993092004286
ADAMTS15,fid_23643,0.28324505502087055,9.914829046081563e-187,1.1600780924649886e-184,0.31388644882171246,4.309348772070837e-231,6.98676840810399e-229,+,0.28324505502087055
DEFB4A_DEFB4B,fid_23495,0.2832345534413182,1.024628576513229e-186,1.1986670093283223e-184,0.283201142572342,1.1376225925393106e-186,1.1007180066000262e-184,+,0.2832345534413182
BCHE,fid_23482,0.28323217941698936,1.0322736565466675e-186,1.2074163084349386e-184,0.2961243540988579,1.025353098145751e-204,1.2330549597590574e-202,+,0.28323217941698936
AGRP,fid_23517,0.2832101123321916,1.10611897126554e-186,1.2935825551148892e-184,0.2747405164691607,2.2881044247748896e-175,1.9144298689577043e-173,+,0.2832101123321916
TTR,fid_23515,0.2832096106276629,1.1078578287037117e-186,1.2954076793670325e-184,0.27615583329874843,3.1361748782205226e-177,2.6833067956585057e-175,+,0.2832096106276629
