name,type
DUSP3,protein
DUT,protein
DXO,protein
DYNC1H1,protein
DYNLT1,protein
DYNLT3,protein
EBAG9,protein
EBI3_IL27,protein
ECE1,protein
ECHDC3,protein
ECHS1,protein
ECI2,protein
ECM1,protein
ECSCR,protein
EDA2R,protein
EDAR,protein
EDDM3B,protein
EDEM2,protein
EDF1,protein
EDIL3,protein
EDN1,protein
EDNRB,protein
EEF1D,protein
EFCAB14,protein
EFCAB2,protein
EFEMP1,protein
EFHD1,protein
EFNA1,protein
EFNA4,protein
EFNB2,protein
EGF,protein
EGFL7,protein
EGFLAM,protein
EGFR,protein
EGLN1,protein
EHBP1,protein
EHD3,protein
EIF1AX,protein
EIF2AK2,protein
EIF2AK3,protein
EIF2S2,protein
EIF4B,protein
EIF4E,protein
EIF4EBP1,protein
EIF4G1,protein
EIF4G3,protein
EIF5,protein
EIF5A,protein
ELAC1,protein
ELAVL4,protein
ELN,protein
ELOA,protein
ELOB,protein
ENAH,protein
ENDOU,protein
ENG,protein
ENO1,protein
ENO2,protein
ENO3,protein
ENOPH1,protein
ENOX2,protein
ENPEP,protein
ENPP2,protein
ENPP5,protein
ENPP6,protein
ENPP7,protein
ENSA,protein
ENTPD2,protein
ENTPD5,protein
ENTPD6,protein
ENTR1,protein
EP300,protein
EPB41L5,protein
EPCAM,protein
EPGN,protein
EPHA1,protein
EPHA10,protein
EPHA2,protein
EPHA4,protein
EPHB4,protein
EPHB6,protein
EPHX2,protein
EPN1,protein
EPO,protein
EPPK1,protein
EPS8L2,protein
ERBB2,protein
ERBB3,protein
ERBB4,protein
ERBIN,protein
ERC2,protein
ERCC1,protein
EREG,protein
ERI1,protein
ERMAP,protein
ERN1,protein
ERP29,protein
ERP44,protein
ERVV_1,protein
ESAM,protein
ESM1,protein
ESPL1,protein
ESR1,protein
ESYT2,protein
EVI2B,protein
EVI5,protein
EVPL,protein
EXOSC10,protein
EXTL1,protein
EZR,protein
F10,protein
F11,protein
F11R,protein
F12,protein
F13B,protein
F2,protein
F2R,protein
F3,protein
F7,protein
F9,protein
FABP1,protein
FABP2,protein
FABP3,protein
FABP4,protein
FABP5,protein
FABP6,protein
FABP9,protein
FADD,protein
FAM13A,protein
FAM171A2,protein
FAM171B,protein
FAM172A,protein
FAM20A,protein
FAM3B,protein
FAM3C,protein
FAM3D,protein
FAP,protein
FARSA,protein
FAS,protein
FASLG,protein
FBLN2,protein
FBN2,protein
FBP1,protein
FCAMR,protein
FCAR,protein
FCER1A,protein
FCER2,protein
FCGR2A,protein
FCGR2B,protein
FCGR3B,protein
FCN1,protein
FCN2,protein
FCRL1,protein
FCRL2,protein
FCRL3,protein
FCRL5,protein
FCRL6,protein
FCRLB,protein
FDX1,protein
FDX2,protein
FEN1,protein
FES,protein
FETUB,protein
FGA,protein
FGD3,protein
FGF12,protein
FGF16,protein
FGF19,protein
FGF2,protein
FGF20,protein
FGF21,protein
FGF23,protein
FGF3,protein
FGF5,protein
FGF6,protein
FGF7,protein
FGF9,protein
FGFBP1,protein
FGFBP2,protein
FGFBP3,protein
FGFR2,protein
FGFR4,protein
FGL1,protein
FGR,protein
FH,protein
FHIP2A,protein
FHIT,protein
FIS1,protein
FKBP14,protein
FKBP1B,protein
FKBP4,protein
FKBP5,protein
FKBP7,protein
FKBPL,protein
FLI1,protein
FLRT2,protein
FLT1,protein
FLT3,protein
FLT3LG,protein
FLT4,protein
FMNL1,protein
FMR1,protein
FN1,protein
FNDC1,protein
FNTA,protein
FOLH1,protein
FOLR1,protein
FOLR2,protein
FOLR3,protein
FOS,protein
FOSB,protein
FOXJ3,protein
FOXO1,protein
FOXO3,protein
FRMD4B,protein
FRMD7,protein
FRZB,protein
FSHB,protein
FST,protein
FSTL1,protein
FSTL3,protein
FTCD,protein
FUCA1,protein
FUOM,protein
FURIN,protein
FUS,protein
FUT1,protein
FUT3_FUT5,protein
FUT8,protein
FXN,protein
FXYD5,protein
