protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
APOC1,fid_23427,0.50437142583992145,0,0,0.5849884347457476,0,0,+,0.50437142583992145
APOM,fid_23427,0.5140092661564698,0,0,0.524586320987505,0,0,+,0.5140092661564698
MENT,fid_23427,0.3876348172611131,0,0,0.38778240584316476,0,0,+,0.3876348172611131
PLTP,fid_23427,0.3735002609998443,0,0,0.3791617634536995,0,0,+,0.3735002609998443
SERPINA6,fid_23427,0.37941051279546056,0,0,0.38656944428306167,0,0,+,0.37941051279546056
APOC1,fid_23415,0.4688735697651651,0,0,0.5281329101745966,0,0,+,0.4688735697651651
APOM,fid_23415,0.5091872747438684,0,0,0.5120157615836919,0,0,+,0.5091872747438684
FGFBP1,fid_23415,0.4970701201090448,0,0,0.49301675720163357,0,0,+,0.4970701201090448
PLA2G7,fid_23415,0.3938859725711019,0,0,0.38829748505607176,0,0,+,0.3938859725711019
CCN1,fid_23442,0.41645942500332417,0,0,0.41391432409339407,0,0,+,0.41645942500332417
F7,fid_23442,0.3954105189206884,0,0,0.40224306097305135,0,0,+,0.3954105189206884
LCAT,fid_23442,0.3876488356741972,0,0,0.39990732379287597,0,0,+,0.3876488356741972
LDLR,fid_23442,0.570871319145274,0,0,0.5749728522690234,0,0,+,0.570871319145274
MFGE8,fid_23442,0.4193075535087264,0,0,0.39832302775766837,0,0,+,0.4193075535087264
NPY,fid_23442,0.39676569234695913,0,0,0.402804602032235,0,0,+,0.39676569234695913
PROC,fid_23442,0.39671791389466043,0,0,0.4049412728851586,0,0,+,0.39671791389466043
APOC1,fid_23419,0.43820268783462607,0,0,0.49105328389971037,0,0,+,0.43820268783462607
APOM,fid_23419,0.46186222925054515,0,0,0.46265363346814425,0,0,+,0.46186222925054515
FGFBP1,fid_23419,0.4980124631503677,0,0,0.49849968034460185,0,0,+,0.4980124631503677
PLA2G7,fid_23419,0.4619616002921861,0,0,0.46314276586438374,0,0,+,0.4619616002921861
ACY1,fid_23482,0.3785800560741643,0,0,0.38566446181360114,0,0,+,0.3785800560741643
ADH4,fid_23482,0.37801481948661403,0,0,0.38470579314970343,0,0,+,0.37801481948661403
AGRP,fid_23482,0.44303202700632227,0,0,0.4755555246363649,0,0,+,0.44303202700632227
CCN1,fid_23482,0.3790451404717384,0,0,0.39458185741986607,0,0,+,0.3790451404717384
CES1,fid_23482,0.42626920830866116,0,0,0.4129977623870811,0,0,+,0.42626920830866116
CPM,fid_23482,0.3825572494875129,0,0,0.4035805548324098,0,0,+,0.3825572494875129
GUSB,fid_23482,0.37536875586964064,0,0,0.3899889422950676,0,0,+,0.37536875586964064
IGSF9,fid_23482,0.4350208325083907,0,0,0.4341080628974761,0,0,+,0.4350208325083907
LDLR,fid_23482,0.5944586607401743,0,0,0.6188770031228267,0,0,+,0.5944586607401743
LPL,fid_23482,-0.39254777904141813,0,0,-0.4248468988463977,0,0,-,0.39254777904141813
MFGE8,fid_23482,0.48574122445850965,0,0,0.45777213947011525,0,0,+,0.48574122445850965
