name,type,display_label,degree,strength,module_louvain,module_walktrap
SNAP29,protein,SNAP29,25,5.59170722948781,2,3
VEGFA,protein,VEGFA,13,2.9397217523098944,6,3
BPIFB1,protein,BPIFB1,25,6.360225101347522,3,3
LATS1,protein,LATS1,25,6.38005187633371,2,3
MZB1,protein,MZB1,3,0.747326736523843,3,1
TIMP1,protein,TIMP1,14,3.1855792386024127,6,3
VSIR,protein,VSIR,4,0.9438015721577184,5,3
ITGAV,protein,ITGAV,32,7.653730856957674,3,3
STC1,protein,STC1,25,6.063458180192053,6,3
PGF,protein,PGF,25,6.302053793628141,6,3
FUOM,protein,FUOM,25,6.588756734827028,6,3
TNFRSF6B,protein,TNFRSF6B,25,5.824697828407294,4,3
CD40,protein,CD40,5,1.1665909668907286,6,3
ARSB,protein,ARSB,3,0.7195975031657638,5,3
MPI,protein,MPI,2,0.5049287408649215,5,2
LBR,protein,LBR,13,2.8599060096515,6,3
VPS37A,protein,VPS37A,25,6.487857891598655,2,3
SORD,protein,SORD,25,6.323945227080449,2,3
MCEMP1,protein,MCEMP1,1,0.28945974856727813,5,2
FIS1,protein,FIS1,12,2.7087521972036113,1,3
CTSF,protein,CTSF,20,4.724611016858225,3,3
IL32,protein,IL32,26,6.618516527826794,3,3
RET,protein,RET,25,6.119482731084404,2,3
LSP1,protein,LSP1,25,5.992038627988158,6,3
FLI1,protein,FLI1,25,6.169292451824334,2,3
TNFRSF10B,protein,TNFRSF10B,22,5.008962163606332,4,3
SERPINA6,protein,SERPINA6,25,6.3804188648079325,3,3
OCLN,protein,OCLN,25,5.794828591114858,4,3
CHRDL1,protein,CHRDL1,1,0.28275794324569675,6,1
DTX3,protein,DTX3,1,0.28213506514232284,6,1
PTS,protein,PTS,25,6.550566438741396,6,3
GIP,protein,GIP,20,4.652922214120011,4,3
CSF1,protein,CSF1,25,5.640607873370549,4,3
TNFAIP8L2,protein,TNFAIP8L2,2,0.5154642375130902,5,2
PSRC1,protein,PSRC1,25,6.5014600458175,2,3
CASP1,protein,CASP1,1,0.2769967229711685,5,2
NPL,protein,NPL,25,6.4330835514747,2,3
ADAM22,protein,ADAM22,1,0.280857437576921,6,1
MYDGF,protein,MYDGF,6,1.3994161672940248,5,3
ADGRG1,protein,ADGRG1,30,6.884637767770853,4,3
ENO3,protein,ENO3,25,6.764011904619669,2,3
GRPEL1,protein,GRPEL1,5,1.1229672684341816,6,3
TXNDC5,protein,TXNDC5,2,0.5216213663238916,5,2
YTHDF3,protein,YTHDF3,25,5.529436252775655,2,3
CEACAM8,protein,CEACAM8,3,0.6852632605268847,6,2
LGALS3BP,protein,LGALS3BP,18,3.9065872130475947,3,3
THBD,protein,THBD,1,0.2791518310863809,6,1
CRELD2,protein,CRELD2,16,3.5032727051998007,2,3
CCL5,protein,CCL5,5,1.0833379383277622,5,3
GMFG,protein,GMFG,2,0.48914638200455984,5,2
RNASE6,protein,RNASE6,25,5.6661663239643145,4,3
LAT2,protein,LAT2,25,5.6103564768624095,2,3
MTDH,protein,MTDH,12,2.5855217162045876,6,3
DPEP2,protein,DPEP2,1,0.2713407325838738,5,2
GP1BA,protein,GP1BA,2,0.4785761873458616,5,2
PON1,protein,PON1,25,6.017316465250865,3,3
EZR,protein,EZR,25,6.198307169887358,2,3
GCC1,protein,GCC1,6,1.3371892835295958,2,3
LRCH4,protein,LRCH4,25,6.098176895020842,6,3
EEF1D,protein,EEF1D,25,5.683468434392785,2,3
PTPRB,protein,PTPRB,25,5.910511764697205,2,3
FYB1,protein,FYB1,22,4.664592340891987,2,3
SYAP1,protein,SYAP1,29,7.075634607035155,1,3
IL13RA1,protein,IL13RA1,25,5.387869729212804,2,3
LRIG1,protein,LRIG1,1,0.26743344386927936,5,3
