protein,module_protein,ENTREZID
EIF2AK2,1,5610
EIF1AX,4,1964
EIF2AK3,1,9451
EIF2S2,1,8894
EIF4B,1,1975
EIF4E,1,1977
EIF4EBP1,2,1978
EIF4G1,1,1981
EIF4G3,1,8672
EIF5,1,1983
ELAC1,1,55520
DSG4,3,147409
DKK3,3,27122
EGFR,3,1956
ELOB,1,6923
ENAH,1,55740
ENO1,1,2023
DDA1,4,79016
ENO2,1,2026
ENG,3,2022
ELOA,2,6924
CLEC12A,4,160364
DCBLD2,3,131566
EFNA4,3,1945
CD207,3,50489
ELN,3,2006
EPHA1,3,2041
DIPK2B,3,79742
EPHA2,3,1969
CTSB,3,1508
EPHA4,3,2043
ADGRB3,3,577
CCER2,3,643669
EPHB4,3,2050
DDC,3,1644
ENO3,3,2027
CPB2,3,1361
ERBB2,3,2064
CNTN5,3,53942
DPP6,3,1804
ENOX2,1,10495
ENSA,1,2029
ENTR1,2,10807
EPPK1,1,83481
EGFL7,3,51162
ERBIN,1,55914
EREG,1,2069
EFHD1,3,80303
ERMAP,1,114625
ERP29,1,10961
EPHB6,3,2051
ERP44,1,23071
COL4A1,3,1282
DMP1,3,1758
CFC1,4,55997
EDNRB,4,1910
ESAM,3,90952
ESYT2,1,57488
CD6,2,923
EPS8L2,3,64787
ERBB3,3,2065
CLU,3,1191
EVI5,1,7813
F11R,1,50848
EPCAM,3,4072
F10,3,2159
F7,3,2155
CES2,3,8824
CLIC5,3,53405
FABP1,3,2168
CSRP3,3,8048
DUSP29,3,338599
EZR,2,7430
F9,3,2158
FABP3,3,2170
ERI1,2,90459
F2R,1,2149
FABP4,3,2167
FABP2,3,2169
ENDOU,3,8909
FABP5,1,2171
FADD,1,8772
FAM13A,1,10144
CTSE,3,1510
FAM3B,3,54097
CLEC4M,3,10332
FAM172A,1,NA
FAM3C,3,10447
ESM1,3,11082
FBLN2,3,2199
FCAMR,3,83953
FCER2,3,2208
FCRL1,3,115350
FCRL2,3,79368
C4BPB,3,725
F11,3,2160
F13B,3,2165
FAM20A,3,54757
EP300,4,2033
FARSA,1,2193
FDX2,1,112812
FES,1,2242
FGD3,1,89846
EPO,3,2056
CLSTN3,3,9746
FAS,3,355
FGF21,3,26291
FGA,3,2243
ARID4B,2,51742
FEN1,2,2237
FGF2,1,2247
FGR,2,2268
FGFBP3,1,143282
FHIT,1,2272
FIS1,1,51024
FKBP14,1,55033
FKBP1B,1,2281
FKBP4,1,2288
FKBP5,1,2289
FKBP7,1,51661
FKBPL,1,63943
CD200R1,3,131450
FLI1,1,2313
ECM1,3,1893
FAP,3,2191
ESR1,4,2099
F3,3,2152
FGFR2,3,2263
FLRT2,3,23768
FNTA,1,2339
FMR1,1,2332
FOXJ3,1,22887
FOLH1,4,2346
FOXO1,1,2308
FOXO3,1,2309
CGA,4,1081
FOLR1,3,2348
FOLR2,3,2350
FSTL1,3,11167
ENPP7,3,339221
FBP1,3,2203
FTCD,3,10841
FLT4,3,2324
FN1,3,2335
FSTL3,3,10272
FUOM,3,282969
FMNL1,2,752
FRMD4B,1,23150
FUS,2,2521
FUT8,1,2530
FXN,1,2395
FURIN,3,5045
FXYD5,1,53827
FYB1,1,2533
GADD45GIP1,1,90480
ENPP2,3,5168
CHGA,3,1113
GAPDH,1,2597
GATD3,1,8209
GBP2,1,2634
GBP4,1,115361
GCC1,1,79571
GBP1,2,2633
GCLM,2,2730
FNDC1,3,84624
GAS6,3,2621
GDF15,3,9518
GFER,1,2671
GGACT,1,87769
CEACAM1,3,634
ENTPD2,3,954
GGCT,1,79017
GCG,3,2641
AGR2,3,10551
GCHFR,2,2644
GIGYF2,1,26058
GIPC3,1,126326
